date,/m/0hn9s
2020-03-01,33
2020-03-02,37
2020-03-03,47
2020-03-04,36
2020-03-05,40
2020-03-06,35
2020-03-07,29
2020-03-08,30
2020-03-09,35
2020-03-10,26
2020-03-11,48
2020-03-12,60
2020-03-13,82
2020-03-14,99
2020-03-15,100
2020-03-16,78
2020-03-17,61
2020-03-18,70
2020-03-19,63
2020-03-20,50
2020-03-21,42
2020-03-22,60
2020-03-23,29
2020-03-24,49
2020-03-25,42
2020-03-26,44
2020-03-27,39
2020-03-28,48
2020-03-29,31
2020-03-30,42
2020-03-31,26
2020-04-01,42
2020-04-02,35
2020-04-03,29
2020-04-04,50
2020-04-05,32
2020-04-06,22
2020-04-07,24
2020-04-08,27
2020-04-09,19
2020-04-10,21
2020-04-11,17
2020-04-12,12
2020-04-13,21
2020-04-14,10
2020-04-15,15
2020-04-16,17
2020-04-17,11
2020-04-18,15
2020-04-19,11
2020-04-20,14
2020-04-21,14
2020-04-22,7
2020-04-23,12
2020-04-24,11
2020-04-25,14
2020-04-26,13
2020-04-27,10
2020-04-28,16
2020-04-29,22
2020-04-30,15
2020-05-01,15
2020-05-02,16
2020-05-03,10
2020-05-04,14
2020-05-05,10
2020-05-06,9
2020-05-07,12
2020-05-08,6
2020-05-09,17
2020-05-10,8
2020-05-11,7
2020-05-12,15
2020-05-13,16
2020-05-14,20
2020-05-15,11
2020-05-16,9
2020-05-17,12
2020-05-18,9
2020-05-19,11
2020-05-20,12
2020-05-21,5
2020-05-22,11
2020-05-23,3
2020-05-24,8
2020-05-25,12
2020-05-26,7
2020-05-27,7
2020-05-28,7
2020-05-29,7
2020-05-30,5
2020-05-31,0
2020-06-01,4
2020-06-02,4
2020-06-03,4
2020-06-04,7
2020-06-05,4
2020-06-06,3
2020-06-07,5
2020-06-08,4
2020-06-09,3
2020-06-10,5
2020-06-11,6
2020-06-12,6
2020-06-13,11
2020-06-14,7
2020-06-15,3
2020-06-16,6
2020-06-17,12
2020-06-18,3
2020-06-19,5
2020-06-20,5
2020-06-21,9
2020-06-22,6
2020-06-23,3
2020-06-24,5
2020-06-25,3
2020-06-26,0
2020-06-27,7
2020-06-28,3
2020-06-29,0
2020-06-30,6
2020-07-01,6
2020-07-02,7
2020-07-03,0
2020-07-04,3
2020-07-05,5
2020-07-06,11
2020-07-07,12
2020-07-08,5
2020-07-09,0
2020-07-10,10
2020-07-11,7
2020-07-12,7
2020-07-13,3
2020-07-14,0
2020-07-15,9
2020-07-16,6
2020-07-17,5
2020-07-18,7
2020-07-19,4
2020-07-20,3
2020-07-21,0
2020-07-22,6
2020-07-23,4
2020-07-24,6
2020-07-25,3
2020-07-26,3
2020-07-27,6
2020-07-28,3
2020-07-29,3
2020-07-30,6
2020-07-31,3
2020-08-01,8
2020-08-02,3
2020-08-03,0
2020-08-04,0
2020-08-05,3
2020-08-06,3
2020-08-07,3
2020-08-08,3
2020-08-09,3
2020-08-10,6
2020-08-11,3
2020-08-12,7
2020-08-13,0
2020-08-14,9
2020-08-15,9
2020-08-16,3
2020-08-17,4
2020-08-18,3
2020-08-19,6
2020-08-20,6
2020-08-21,0
2020-08-22,5
2020-08-23,3
2020-08-24,3
2020-08-25,4
2020-08-26,0
2020-08-27,3
2020-08-28,3
2020-08-29,3
2020-08-30,3
2020-08-31,3
2020-09-01,3
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,3
2020-09-06,3
2020-09-07,6
2020-09-08,3
2020-09-09,8
2020-09-10,4
2020-09-11,5
2020-09-12,5
2020-09-13,3
2020-09-14,5
2020-09-15,11
2020-09-16,6
2020-09-17,6
2020-09-18,3
2020-09-19,6
2020-09-20,4
2020-09-21,8
2020-09-22,3
2020-09-23,5
2020-09-24,3
2020-09-25,3
2020-09-26,5
2020-09-27,5
2020-09-28,9
2020-09-29,6
2020-09-30,3
2020-10-01,3
2020-10-02,3
2020-10-03,3
2020-10-04,6
2020-10-05,6
2020-10-06,0
2020-10-07,3
2020-10-08,3
2020-10-09,3
2020-10-10,6
2020-10-11,7
2020-10-12,7
2020-10-13,7
2020-10-14,0
2020-10-15,8
2020-10-16,7
2020-10-17,4
2020-10-18,7
