date,/g/1213j0cz
2020-03-01,0
2020-03-02,47
2020-03-03,24
2020-03-04,24
2020-03-05,33
2020-03-06,25
2020-03-07,28
2020-03-08,28
2020-03-09,24
2020-03-10,51
2020-03-11,25
2020-03-12,50
2020-03-13,44
2020-03-14,56
2020-03-15,100
2020-03-16,51
2020-03-17,89
2020-03-18,80
2020-03-19,33
2020-03-20,24
2020-03-21,28
2020-03-22,79
2020-03-23,64
2020-03-24,31
2020-03-25,35
2020-03-26,31
2020-03-27,46
2020-03-28,40
2020-03-29,65
2020-03-30,37
2020-03-31,23
2020-04-01,23
2020-04-02,69
2020-04-03,24
2020-04-04,95
2020-04-05,40
2020-04-06,22
2020-04-07,46
2020-04-08,35
2020-04-09,48
2020-04-10,37
2020-04-11,51
2020-04-12,65
2020-04-13,24
2020-04-14,46
2020-04-15,23
2020-04-16,35
2020-04-17,47
2020-04-18,0
2020-04-19,0
2020-04-20,32
2020-04-21,32
2020-04-22,22
2020-04-23,0
2020-04-24,24
2020-04-25,0
2020-04-26,0
2020-04-27,21
2020-04-28,22
2020-04-29,23
2020-04-30,0
2020-05-01,22
2020-05-02,23
2020-05-03,26
2020-05-04,0
2020-05-05,21
2020-05-06,34
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,23
2020-05-11,0
2020-05-12,23
2020-05-13,23
2020-05-14,0
2020-05-15,24
2020-05-16,46
2020-05-17,0
2020-05-18,24
2020-05-19,24
2020-05-20,0
2020-05-21,28
2020-05-22,26
2020-05-23,27
2020-05-24,0
2020-05-25,24
2020-05-26,25
2020-05-27,24
2020-05-28,23
2020-05-29,0
2020-05-30,0
2020-05-31,29
2020-06-01,36
2020-06-02,0
2020-06-03,22
2020-06-04,0
2020-06-05,34
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,22
2020-06-10,24
2020-06-11,23
2020-06-12,25
2020-06-13,57
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,30
2020-06-20,0
2020-06-21,35
2020-06-22,0
2020-06-23,29
2020-06-24,0
2020-06-25,29
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,27
2020-06-30,0
2020-07-01,55
2020-07-02,27
2020-07-03,0
2020-07-04,36
2020-07-05,35
2020-07-06,0
2020-07-07,0
2020-07-08,30
2020-07-09,30
2020-07-10,0
2020-07-11,0
2020-07-12,37
2020-07-13,0
2020-07-14,0
2020-07-15,29
2020-07-16,0
2020-07-17,32
2020-07-18,38
2020-07-19,0
2020-07-20,31
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,33
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,31
2020-07-30,62
2020-07-31,0
2020-08-01,0
2020-08-02,34
2020-08-03,30
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,35
2020-08-09,0
2020-08-10,30
2020-08-11,0
2020-08-12,29
2020-08-13,0
2020-08-14,0
2020-08-15,34
2020-08-16,0
2020-08-17,0
2020-08-18,31
2020-08-19,0
2020-08-20,32
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,33
2020-08-30,32
2020-08-31,29
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,30
2020-09-09,0
2020-09-10,30
2020-09-11,30
2020-09-12,0
2020-09-13,32
2020-09-14,29
2020-09-15,29
2020-09-16,28
2020-09-17,29
2020-09-18,30
2020-09-19,0
2020-09-20,30
2020-09-21,28
2020-09-22,0
2020-09-23,28
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,65
2020-09-28,0
2020-09-29,0
2020-09-30,31
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,29
2020-10-06,0
2020-10-07,29
2020-10-08,0
2020-10-09,34
2020-10-10,34
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,32
2020-10-16,0
2020-10-17,36
2020-10-18,37
2020-10-19,31
2020-10-20,0
2020-10-21,31
2020-10-22,31
2020-10-23,32
