date,/m/01b_06
2020-02-01,19.0
2020-02-02,19.0
2020-02-03,26.0
2020-02-04,12.0
2020-02-05,21.0
2020-02-06,17.0
2020-02-07,17.0
2020-02-08,20.0
2020-02-09,12.0
2020-02-10,19.0
2020-02-11,19.0
2020-02-12,19.0
2020-02-13,16.0
2020-02-14,19.0
2020-02-15,11.0
2020-02-16,14.0
2020-02-17,22.0
2020-02-18,20.0
2020-02-19,17.0
2020-02-20,16.0
2020-02-21,10.0
2020-02-22,18.0
2020-02-23,27.0
2020-02-24,28.0
2020-02-25,38.0
2020-02-26,60.0
2020-02-27,46.0
2020-02-28,54.0
2020-02-29,64.0
2020-03-01,68.0
2020-03-02,73.0
2020-03-03,40.0
2020-03-04,31.0
2020-03-05,36.0
2020-03-06,32.0
2020-03-07,33.0
2020-03-08,37.0
2020-03-09,42.0
2020-03-10,38.0
2020-03-11,51.0
2020-03-12,53.0
2020-03-13,93.0
2020-03-14,99.0
2020-03-15,100.0
2020-03-16,92.0
2020-03-17,98.0
2020-03-18,53.0
2020-03-19,78.0
2020-03-20,70.0
2020-03-21,46.0
2020-03-22,64.0
2020-03-23,50.0
2020-03-24,43.0
2020-03-25,40.0
2020-03-26,41.0
2020-03-27,36.0
2020-03-28,57.0
2020-03-29,37.0
2020-03-30,43.0
2020-03-31,34.0
2020-04-01,31.0
2020-04-02,19.0
2020-04-03,31.0
2020-04-04,29.0
2020-04-05,17.0
2020-04-06,23.0
2020-04-07,26.0
2020-04-08,25.0
2020-04-09,19.0
2020-04-10,33.0
2020-04-11,12.0
2020-04-12,27.0
2020-04-13,25.0
2020-04-14,13.0
2020-04-15,24.0
2020-04-16,16.0
2020-04-17,20.0
2020-04-18,15.0
2020-04-19,19.0
2020-04-20,16.0
2020-04-21,19.0
2020-04-22,22.0
2020-04-23,27.0
2020-04-24,12.0
2020-04-25,11.0
2020-04-26,20.0
2020-04-27,12.0
2020-04-28,13.0
2020-04-29,15.0
2020-04-30,20.0
2020-05-01,15.0
2020-05-02,12.0
2020-05-03,19.0
2020-05-04,15.0
2020-05-05,7.0
2020-05-06,15.0
2020-05-07,15.0
2020-05-08,15.0
2020-05-09,15.0
2020-05-10,15.0
2020-05-11,14.0
2020-05-12,24.0
2020-05-13,25.0
2020-05-14,16.0
2020-05-15,19.0
2020-05-16,17.0
2020-05-17,20.0
2020-05-18,21.0
2020-05-19,13.0
2020-05-20,14.0
2020-05-21,12.0
2020-05-22,14.0
2020-05-23,22.0
2020-05-24,19.0
2020-05-25,20.0
2020-05-26,11.0
2020-05-27,17.0
2020-05-28,15.0
2020-05-29,17.0
2020-05-30,20.0
2020-05-31,17.0
2020-06-01,8.0
2020-06-02,12.0
2020-06-03,15.0
2020-06-04,15.0
2020-06-05,15.0
2020-06-06,15.0
2020-06-07,14.0
2020-06-08,11.0
2020-06-09,11.0
2020-06-10,14.0
2020-06-11,17.0
2020-06-12,13.0
2020-06-13,17.0
2020-06-14,21.0
2020-06-15,14.0
2020-06-16,15.0
2020-06-17,13.0
2020-06-18,14.0
2020-06-19,14.0
2020-06-20,8.0
2020-06-21,13.0
2020-06-22,16.0
2020-06-23,14.0
2020-06-24,15.0
2020-06-25,20.0
2020-06-26,21.0
2020-06-27,16.0
2020-06-28,16.0
2020-06-29,15.0
2020-06-30,24.0
2020-07-01,12.0
2020-07-02,14.0
2020-07-03,12.0
2020-07-04,17.0
2020-07-05,20.0
2020-07-06,12.0
2020-07-07,19.0
2020-07-08,11.0
2020-07-09,11.0
2020-07-10,12.0
2020-07-11,12.0
2020-07-12,15.0
2020-07-13,19.0
2020-07-14,25.0
2020-07-15,24.0
2020-07-16,15.0
2020-07-17,18.0
2020-07-18,18.0
2020-07-19,13.0
2020-07-20,16.0
2020-07-21,22.0
2020-07-22,15.0
2020-07-23,18.0
2020-07-24,18.0
2020-07-25,18.0
2020-07-26,17.0
2020-07-27,19.0
2020-07-28,22.0
2020-07-29,21.0
2020-07-30,16.0
2020-07-31,19.0
2020-08-01,21.0
2020-08-02,22.0
2020-08-03,20.0
2020-08-04,20.0
2020-08-05,10.0
2020-08-06,10.0
2020-08-07,7.0
2020-08-08,26.0
2020-08-09,14.0
2020-08-10,17.0
2020-08-11,15.0
2020-08-12,12.0
2020-08-13,12.0
2020-08-14,22.0
2020-08-15,17.0
2020-08-16,23.0
2020-08-17,18.0
2020-08-18,16.0
2020-08-19,19.0
2020-08-20,15.0
2020-08-21,18.0
2020-08-22,13.0
2020-08-23,24.0
2020-08-24,16.0
2020-08-25,22.0
2020-08-26,14.0
2020-08-27,18.0
2020-08-28,14.0
2020-08-29,19.0
2020-08-30,14.0
2020-08-31,15.0
2020-09-01,22.0
2020-09-02,12.0
2020-09-03,29.0
2020-09-04,20.0
2020-09-05,21.0
2020-09-06,24.0
2020-09-07,38.0
2020-09-08,30.0
2020-09-09,23.0
2020-09-10,29.0
2020-09-11,36.0
2020-09-12,28.0
2020-09-13,37.0
2020-09-14,47.0
2020-09-15,30.0
2020-09-16,38.0
2020-09-17,23.0
2020-09-18,37.0
2020-09-19,32.0
2020-09-20,33.0
2020-09-21,17.0
2020-09-22,27.0
2020-09-23,25.0
2020-09-24,29.0
2020-09-25,14.0
2020-09-26,15.0
2020-09-27,25.0
2020-09-28,30.0
2020-09-29,23.0
2020-09-30,18.0
2020-10-01,28.0
2020-10-02,20.0
2020-10-03,16.0
2020-10-04,24.0
2020-10-05,20.0
2020-10-06,29.0
2020-10-07,30.0
2020-10-08,25.0
2020-10-09,27.0
2020-10-10,30.0
2020-10-11,25.0
2020-10-12,25.0
2020-10-13,29.0
2020-10-14,26.0
2020-10-15,16.0
2020-10-16,35.0
2020-10-17,27.0
2020-10-18,26.0
2020-10-19,35.0
2020-10-20,28.0
2020-10-21,29.0
2020-10-22,32.0
2020-10-23,28.0
2020-10-24,28.0
2020-10-25,29.0
2020-10-26,40.0
2020-10-27,35.0
2020-10-28,45.84916822211101
2020-10-29,24.273089058764654
2020-10-30,31.28531478685222
2020-10-31,27.509500933266605
2020-11-01,39.3763444731071
2020-11-02,34.52172666135417
2020-11-03,35.06112864043783
2020-11-04,28.588304891433925
2020-11-05,45.84916822211101
2020-11-06,27.509500933266605
2020-11-07,22.115481142430017
2020-11-08,12.945647498007816
2020-11-09,25.35189301693197
2020-11-10,22.115481142430017
2020-11-11,31.28531478685222
2020-11-12,18.339667288844403
2020-11-13,12.945647498007816
2020-11-14,18.879069267928063
2020-11-15,29.12770687051758
2020-11-16,24.273089058764654
2020-11-17,35.60053061952149
2020-11-18,28.588304891433925
2020-11-19,21.0366771842627
2020-11-20,22.654883121513677
2020-11-21,26.970098954182948
2020-11-22,16.18205937250977
2020-11-23,24.273089058764654
2020-11-24,24.273089058764654
2020-11-25,8.091029686254885
2020-11-26,18.339667288844403
2020-11-27,17.260863330677086
2020-11-28,21.0366771842627
2020-11-29,14.56385343525879
2020-11-30,23.733687079680994
2020-12-01,16.18205937250977
2020-12-02,17.260863330677086
2020-12-03,22.115481142430017
2020-12-04,16.721461351593426
2020-12-05,16.721461351593426
2020-12-06,18.339667288844403
2020-12-07,15.103255414342451
2020-12-08,12.945647498007816
2020-12-09,19.95787322609538
2020-12-10,17.800265309760746
2020-12-11,21.0366771842627
2020-12-12,11.327441560756839
2020-12-13,16.18205937250977
2020-12-14,9.709235623505862
2020-12-15,22.115481142430017
2020-12-16,19.95787322609538
2020-12-17,28.048902912350265
2020-12-18,16.18205937250977
2020-12-19,14.56385343525879
2020-12-20,28.048902912350265
2020-12-21,28.588304891433925
2020-12-22,24.273089058764654
2020-12-23,15.64265739342611
2020-12-24,14.024451456175132
2020-12-25,20.49727520517904
2020-12-26,18.879069267928063
2020-12-27,17.260863330677086
2020-12-28,15.64265739342611
2020-12-29,21.576079163346357
2020-12-30,26.430696975099288
2020-12-31,15.103255414342451
2021-01-01,23.733687079680994
2021-01-02,24.81249103784831
2021-01-03,22.115481142430017
2021-01-04,22.115481142430017
2021-01-05,27.509500933266605
2021-01-06,18.879069267928063
2021-01-07,21.576079163346357
2021-01-08,29.66710884960124
2021-01-09,33.44292270318685
2021-01-10,18.879069267928063
2021-01-11,42.0733543685254
2021-01-12,35.60053061952149
2021-01-13,21.0366771842627
2021-01-14,14.56385343525879
2021-01-15,23.194285100597334
2021-01-16,19.95787322609538
2021-01-17,23.194285100597334
2021-01-18,28.048902912350265
2021-01-19,25.35189301693197
2021-01-20,23.733687079680994
2021-01-21,33.44292270318685
2021-01-22,34.52172666135417
2021-01-23,23.194285100597334
2021-01-24,15.103255414342451
2021-01-25,17.260863330677086
2021-01-26,27.509500933266605
2021-01-27,23.733687079680994
2021-01-28,23.194285100597334
2021-01-29,15.64265739342611
2021-01-30,15.64265739342611
2021-01-31,15.64265739342611
2021-02-01,26.970098954182948
2021-02-02,25.89129499601563
2021-02-03,30.206510828684902
2021-02-04,12.406245518924155
2021-02-05,34.52172666135417
2021-02-06,21.576079163346357
2021-02-07,26.430696975099288
2021-02-08,23.194285100597334
2021-02-09,23.733687079680994
2021-02-10,28.048902912350265
2021-02-11,31.82471676593588
2021-02-12,18.339667288844403
2021-02-13,16.721461351593426
2021-02-14,25.35189301693197
2021-02-15,29.66710884960124
2021-02-16,22.654883121513677
2021-02-17,26.970098954182948
2021-02-18,21.0366771842627
2021-02-19,33.982324682270516
2021-02-20,35.06112864043783
2021-02-21,35.06112864043783
2021-02-22,25.89129499601563
2021-02-23,30.74591280776856
2021-02-24,19.95787322609538
2021-02-25,29.12770687051758
2021-02-26,28.048902912350265
2021-02-27,29.12770687051758
2021-02-28,32.903520724103196
2021-03-01,23.733687079680994
2021-03-02,19.95787322609538
2021-03-03,29.66710884960124
2021-03-04,28.588304891433925
2021-03-05,26.970098954182948
2021-03-06,30.206510828684902
2021-03-07,24.273089058764654
2021-03-08,25.89129499601563
2021-03-09,22.115481142430017
2021-03-10,28.588304891433925
2021-03-11,31.28531478685222
2021-03-12,25.35189301693197
2021-03-13,20.49727520517904
2021-03-14,18.879069267928063
2021-03-15,27.509500933266605
2021-03-16,35.06112864043783
2021-03-17,21.576079163346357
2021-03-18,25.89129499601563
2021-03-19,22.115481142430017
2021-03-20,25.89129499601563
2021-03-21,30.74591280776856
2021-03-22,30.206510828684902
2021-03-23,43.69156030577638
2021-03-24,25.89129499601563
2021-03-25,31.28531478685222
2021-03-26,26.430696975099288
2021-03-27,33.44292270318685
2021-03-28,20.49727520517904
2021-03-29,24.81249103784831
2021-03-30,23.194285100597334
2021-03-31,24.273089058764654
2021-04-01,24.81249103784831
2021-04-02,21.576079163346357
2021-04-03,24.273089058764654
2021-04-04,21.0366771842627
2021-04-05,19.418471247011723
2021-04-06,24.81249103784831
2021-04-07,22.115481142430017
2021-04-08,20.49727520517904
2021-04-09,24.81249103784831
2021-04-10,27.509500933266605
2021-04-11,33.44292270318685
2021-04-12,18.339667288844403
2021-04-13,18.879069267928063
2021-04-14,36.679334577688806
2021-04-15,19.418471247011723
2021-04-16,21.0366771842627
2021-04-17,15.103255414342451
2021-04-18,13.485049477091474
2021-04-19,23.733687079680994
2021-04-20,18.879069267928063
2021-04-21,19.95787322609538
2021-04-22,24.273089058764654
2021-04-23,15.103255414342451
2021-04-24,28.048902912350265
2021-04-25,21.0366771842627
2021-04-26,17.800265309760746
2021-04-27,21.576079163346357
2021-04-28,31.28531478685222
2021-04-29,17.260863330677086
2021-04-30,21.0366771842627
2021-05-01,20.49727520517904
2021-05-02,16.18205937250977
2021-05-03,32.903520724103196
2021-05-04,25.89129499601563
2021-05-05,21.0366771842627
2021-05-06,18.879069267928063
2021-05-07,19.95787322609538
2021-05-08,12.945647498007816
2021-05-09,37.21873655677247
2021-05-10,17.260863330677086
2021-05-11,12.406245518924155
2021-05-12,23.194285100597334
2021-05-13,20.49727520517904
2021-05-14,20.49727520517904
2021-05-15,21.91615847233933
2021-05-16,19.659485382886952
