date,/m/0g9pc
2020-02-01,0.0
2020-02-02,10.0
2020-02-03,19.0
2020-02-04,0.0
2020-02-05,11.0
2020-02-06,0.0
2020-02-07,12.0
2020-02-08,0.0
2020-02-09,22.0
2020-02-10,0.0
2020-02-11,10.0
2020-02-12,10.0
2020-02-13,10.0
2020-02-14,0.0
2020-02-15,11.0
2020-02-16,0.0
2020-02-17,10.0
2020-02-18,0.0
2020-02-19,5.0
2020-02-20,11.0
2020-02-21,0.0
2020-02-22,18.0
2020-02-23,6.0
2020-02-24,10.0
2020-02-25,14.0
2020-02-26,15.0
2020-02-27,25.0
2020-02-28,31.0
2020-02-29,28.0
2020-03-01,47.0
2020-03-02,24.0
2020-03-03,30.0
2020-03-04,20.0
2020-03-05,15.0
2020-03-06,15.0
2020-03-07,35.0
2020-03-08,37.0
2020-03-09,29.0
2020-03-10,29.0
2020-03-11,24.0
2020-03-12,43.0
2020-03-13,100.0
2020-03-14,90.0
2020-03-15,93.0
2020-03-16,84.0
2020-03-17,89.0
2020-03-18,80.0
2020-03-19,49.0
2020-03-20,65.0
2020-03-21,66.0
2020-03-22,62.0
2020-03-23,32.0
2020-03-24,54.0
2020-03-25,40.0
2020-03-26,52.0
2020-03-27,22.0
2020-03-28,35.0
2020-03-29,33.0
2020-03-30,16.0
2020-03-31,9.0
2020-04-01,30.0
2020-04-02,17.0
2020-04-03,18.0
2020-04-04,42.0
2020-04-05,32.0
2020-04-06,29.0
2020-04-07,13.0
2020-04-08,35.0
2020-04-09,5.0
2020-04-10,5.0
2020-04-11,30.0
2020-04-12,5.0
2020-04-13,10.0
2020-04-14,30.0
2020-04-15,17.0
2020-04-16,18.0
2020-04-17,18.0
2020-04-18,0.0
2020-04-19,18.0
2020-04-20,4.0
2020-04-21,13.0
2020-04-22,4.0
2020-04-23,9.0
2020-04-24,9.0
2020-04-25,10.0
2020-04-26,15.0
2020-04-27,17.0
2020-04-28,4.0
2020-04-29,18.0
2020-04-30,0.0
2020-05-01,8.0
2020-05-02,0.0
2020-05-03,5.0
2020-05-04,9.0
2020-05-05,4.0
2020-05-06,13.0
2020-05-07,4.0
2020-05-08,0.0
2020-05-09,5.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,0.0
2020-05-13,4.0
2020-05-14,5.0
2020-05-15,10.0
2020-05-16,17.0
2020-05-17,11.0
2020-05-18,0.0
2020-05-19,5.0
2020-05-20,0.0
2020-05-21,16.0
2020-05-22,5.0
2020-05-23,0.0
2020-05-24,6.0
2020-05-25,14.0
2020-05-26,5.0
2020-05-27,5.0
2020-05-28,5.0
2020-05-29,0.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,9.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,4.0
2020-06-05,5.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,4.0
2020-06-09,9.0
2020-06-10,5.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,5.0
2020-06-14,11.0
2020-06-15,9.0
2020-06-16,4.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,5.0
2020-06-20,0.0
2020-06-21,6.0
2020-06-22,5.0
2020-06-23,0.0
2020-06-24,10.0
2020-06-25,5.0
2020-06-26,5.0
2020-06-27,6.0
2020-06-28,5.0
2020-06-29,0.0
2020-06-30,5.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,12.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,5.0
2020-07-10,0.0
2020-07-11,13.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,6.0
2020-07-15,0.0
2020-07-16,5.0
2020-07-17,11.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,5.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,6.0
2020-07-25,6.0
2020-07-26,6.0
2020-07-27,10.0
2020-07-28,11.0
2020-07-29,5.0
2020-07-30,0.0
2020-07-31,16.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,5.0
2020-08-04,5.0
2020-08-05,5.0
2020-08-06,5.0
2020-08-07,0.0
2020-08-08,11.0
2020-08-09,0.0
2020-08-10,5.0
2020-08-11,0.0
2020-08-12,5.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,5.0
2020-08-16,0.0
2020-08-17,10.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,5.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,5.0
2020-08-24,0.0
2020-08-25,10.0
2020-08-26,0.0
2020-08-27,5.0
2020-08-28,0.0
2020-08-29,6.0
2020-08-30,11.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,6.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,5.0
2020-09-09,5.0
2020-09-10,0.0
2020-09-11,5.0
2020-09-12,11.0
2020-09-13,0.0
2020-09-14,5.0
2020-09-15,5.0
2020-09-16,10.0
2020-09-17,5.0
2020-09-18,0.0
2020-09-19,11.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,10.0
2020-09-24,5.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,5.0
2020-09-28,5.0
2020-09-29,11.0
2020-09-30,0.0
2020-10-01,5.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,5.0
2020-10-07,0.0
2020-10-08,5.0
2020-10-09,6.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,5.0
2020-10-13,0.0
2020-10-14,10.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,5.0
2020-10-22,10.0
2020-10-23,5.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,6.094182194616977
2020-11-02,6.094182194616977
2020-11-03,0.0
2020-11-04,11.357339544513456
2020-11-05,18.00553830227743
2020-11-06,18.28254658385093
2020-11-07,6.094182194616977
2020-11-08,6.648198757763975
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,12.465372670807453
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,6.371190476190476
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,6.094182194616977
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,6.648198757763975
2020-11-23,6.371190476190476
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,12.188364389233953
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,6.371190476190476
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,6.094182194616977
2020-12-12,12.742380952380952
2020-12-13,0.0
2020-12-14,19.390579710144927
2020-12-15,19.944596273291925
2020-12-16,13.573405797101447
2020-12-17,0.0
2020-12-18,7.202215320910972
2020-12-19,7.202215320910972
2020-12-20,27.700828157349893
2020-12-21,6.648198757763975
2020-12-22,13.573405797101447
2020-12-23,13.850414078674946
2020-12-24,7.7562318840579705
2020-12-25,8.033240165631469
2020-12-26,7.202215320910972
2020-12-27,0.0
2020-12-28,6.371190476190476
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,7.202215320910972
2021-01-03,0.0
2021-01-04,6.371190476190476
2021-01-05,6.371190476190476
2021-01-06,6.371190476190476
2021-01-07,6.371190476190476
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,6.925207039337473
2021-01-11,6.648198757763975
2021-01-12,6.371190476190476
2021-01-13,0.0
2021-01-14,13.01938923395445
2021-01-15,0.0
2021-01-16,7.202215320910972
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,6.371190476190476
2021-01-22,6.094182194616977
2021-01-23,13.850414078674946
2021-01-24,0.0
2021-01-25,6.371190476190476
2021-01-26,0.0
2021-01-27,6.371190476190476
2021-01-28,0.0
2021-01-29,6.371190476190476
2021-01-30,13.573405797101447
2021-01-31,6.371190476190476
2021-02-01,11.911356107660454
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,13.573405797101447
2021-02-06,0.0
2021-02-07,14.404430641821945
2021-02-08,6.371190476190476
2021-02-09,0.0
2021-02-10,19.667587991718424
2021-02-11,0.0
2021-02-12,6.371190476190476
2021-02-13,14.404430641821945
2021-02-14,0.0
2021-02-15,6.925207039337473
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,6.648198757763975
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,6.925207039337473
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,6.648198757763975
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,14.681438923395444
2021-03-07,13.850414078674946
2021-03-08,20.77562111801242
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,6.371190476190476
2021-03-13,0.0
2021-03-14,6.648198757763975
2021-03-15,10.249306418219462
2021-03-16,5.817173913043478
2021-03-17,0.0
2021-03-18,6.648198757763975
2021-03-19,13.573405797101447
2021-03-20,7.202215320910972
2021-03-21,14.127422360248445
2021-03-22,0.0
2021-03-23,6.371190476190476
2021-03-24,0.0
2021-03-25,6.648198757763975
2021-03-26,6.925207039337473
2021-03-27,7.7562318840579705
2021-03-28,7.479223602484471
2021-03-29,13.573405797101447
2021-03-30,6.925207039337473
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,13.850414078674946
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,11.911356107660454
2021-04-08,0.0
2021-04-09,6.094182194616977
2021-04-10,6.648198757763975
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,19.390579710144927
2021-04-14,12.742380952380952
2021-04-15,0.0
2021-04-16,12.465372670807453
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,12.465372670807453
2021-04-20,6.371190476190476
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,7.7562318840579705
2021-04-25,7.202215320910972
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,6.648198757763975
2021-05-03,6.094182194616977
2021-05-04,0.0
2021-05-05,12.465372670807453
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,6.648198757763975
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,6.371190476190476
2021-05-13,6.925207039337473
2021-05-14,0.0
2021-05-15,7.82850017661228
2021-05-16,7.369997997070997
2021-05-17,11.993829894111528
