date,/m/01b_21
2020-02-01,45.0
2020-02-02,48.0
2020-02-03,40.0
2020-02-04,34.0
2020-02-05,38.0
2020-02-06,43.0
2020-02-07,35.0
2020-02-08,45.0
2020-02-09,54.0
2020-02-10,49.0
2020-02-11,35.0
2020-02-12,39.0
2020-02-13,34.0
2020-02-14,38.0
2020-02-15,40.0
2020-02-16,37.0
2020-02-17,39.0
2020-02-18,48.0
2020-02-19,38.0
2020-02-20,32.0
2020-02-21,32.0
2020-02-22,39.0
2020-02-23,49.0
2020-02-24,39.0
2020-02-25,27.0
2020-02-26,38.0
2020-02-27,49.0
2020-02-28,35.0
2020-02-29,40.0
2020-03-01,56.0
2020-03-02,49.0
2020-03-03,50.0
2020-03-04,43.0
2020-03-05,38.0
2020-03-06,44.0
2020-03-07,47.0
2020-03-08,42.0
2020-03-09,46.0
2020-03-10,50.0
2020-03-11,48.0
2020-03-12,60.0
2020-03-13,63.0
2020-03-14,93.0
2020-03-15,95.0
2020-03-16,83.0
2020-03-17,97.0
2020-03-18,95.0
2020-03-19,100.0
2020-03-20,75.0
2020-03-21,96.0
2020-03-22,88.0
2020-03-23,81.0
2020-03-24,59.0
2020-03-25,60.0
2020-03-26,52.0
2020-03-27,84.0
2020-03-28,85.0
2020-03-29,68.0
2020-03-30,59.0
2020-03-31,50.0
2020-04-01,43.0
2020-04-02,45.0
2020-04-03,43.0
2020-04-04,38.0
2020-04-05,35.0
2020-04-06,33.0
2020-04-07,33.0
2020-04-08,25.0
2020-04-09,31.0
2020-04-10,31.0
2020-04-11,28.0
2020-04-12,26.0
2020-04-13,24.0
2020-04-14,25.0
2020-04-15,23.0
2020-04-16,21.0
2020-04-17,23.0
2020-04-18,23.0
2020-04-19,26.0
2020-04-20,20.0
2020-04-21,20.0
2020-04-22,19.0
2020-04-23,24.0
2020-04-24,17.0
2020-04-25,15.0
2020-04-26,19.0
2020-04-27,14.0
2020-04-28,14.0
2020-04-29,17.0
2020-04-30,18.0
2020-05-01,16.0
2020-05-02,18.0
2020-05-03,21.0
2020-05-04,14.0
2020-05-05,14.0
2020-05-06,12.0
2020-05-07,11.0
2020-05-08,15.0
2020-05-09,17.0
2020-05-10,15.0
2020-05-11,12.0
2020-05-12,12.0
2020-05-13,16.0
2020-05-14,15.0
2020-05-15,13.0
2020-05-16,14.0
2020-05-17,14.0
2020-05-18,11.0
2020-05-19,11.0
2020-05-20,11.0
2020-05-21,14.0
2020-05-22,11.0
2020-05-23,11.0
2020-05-24,14.0
2020-05-25,13.0
2020-05-26,11.0
2020-05-27,12.0
2020-05-28,14.0
2020-05-29,12.0
2020-05-30,18.0
2020-05-31,15.0
2020-06-01,12.0
2020-06-02,11.0
2020-06-03,13.0
2020-06-04,15.0
2020-06-05,16.0
2020-06-06,13.0
2020-06-07,14.0
2020-06-08,9.0
2020-06-09,10.0
2020-06-10,11.0
2020-06-11,14.0
2020-06-12,24.0
2020-06-13,10.0
2020-06-14,8.0
2020-06-15,9.0
2020-06-16,9.0
2020-06-17,8.0
2020-06-18,8.0
2020-06-19,8.0
2020-06-20,11.0
2020-06-21,10.0
2020-06-22,6.0
2020-06-23,11.0
2020-06-24,8.0
2020-06-25,14.0
2020-06-26,6.0
2020-06-27,14.0
2020-06-28,8.0
2020-06-29,13.0
2020-06-30,10.0
2020-07-01,11.0
2020-07-02,9.0
2020-07-03,10.0
2020-07-04,13.0
2020-07-05,14.0
2020-07-06,13.0
2020-07-07,8.0
2020-07-08,10.0
2020-07-09,13.0
2020-07-10,14.0
2020-07-11,10.0
2020-07-12,10.0
2020-07-13,14.0
2020-07-14,19.0
2020-07-15,13.0
2020-07-16,17.0
2020-07-17,18.0
2020-07-18,16.0
2020-07-19,21.0
2020-07-20,16.0
2020-07-21,10.0
2020-07-22,14.0
2020-07-23,14.0
2020-07-24,19.0
2020-07-25,16.0
2020-07-26,17.0
2020-07-27,17.0
2020-07-28,18.0
2020-07-29,15.0
2020-07-30,11.0
2020-07-31,12.0
2020-08-01,11.0
2020-08-02,9.0
2020-08-03,11.0
2020-08-04,17.0
2020-08-05,12.0
2020-08-06,14.0
2020-08-07,12.0
2020-08-08,15.0
2020-08-09,13.0
2020-08-10,13.0
2020-08-11,18.0
2020-08-12,10.0
2020-08-13,13.0
2020-08-14,15.0
2020-08-15,19.0
2020-08-16,16.0
2020-08-17,16.0
2020-08-18,19.0
2020-08-19,14.0
2020-08-20,13.0
2020-08-21,14.0
2020-08-22,12.0
2020-08-23,18.0
2020-08-24,13.0
2020-08-25,13.0
2020-08-26,15.0
2020-08-27,18.0
2020-08-28,11.0
2020-08-29,16.0
2020-08-30,12.0
2020-08-31,12.0
2020-09-01,8.0
2020-09-02,17.0
2020-09-03,16.0
2020-09-04,15.0
2020-09-05,23.0
2020-09-06,26.0
2020-09-07,24.0
2020-09-08,25.0
2020-09-09,33.0
2020-09-10,30.0
2020-09-11,27.0
2020-09-12,33.0
2020-09-13,34.0
2020-09-14,28.0
2020-09-15,26.0
2020-09-16,25.0
2020-09-17,28.0
2020-09-18,30.0
2020-09-19,22.0
2020-09-20,29.0
2020-09-21,23.0
2020-09-22,21.0
2020-09-23,26.0
2020-09-24,23.0
2020-09-25,22.0
2020-09-26,22.0
2020-09-27,20.0
2020-09-28,19.0
2020-09-29,20.0
2020-09-30,16.0
2020-10-01,19.0
2020-10-02,19.0
2020-10-03,20.0
2020-10-04,18.0
2020-10-05,19.0
2020-10-06,24.0
2020-10-07,22.0
2020-10-08,26.0
2020-10-09,16.0
2020-10-10,17.0
2020-10-11,26.0
2020-10-12,30.0
2020-10-13,25.0
