date,/m/02gy9_
2020-03-01,28
2020-03-02,51
2020-03-03,48
2020-03-04,21
2020-03-05,30
2020-03-06,39
2020-03-07,14
2020-03-08,39
2020-03-09,50
2020-03-10,40
2020-03-11,23
2020-03-12,69
2020-03-13,43
2020-03-14,78
2020-03-15,43
2020-03-16,29
2020-03-17,38
2020-03-18,62
2020-03-19,63
2020-03-20,74
2020-03-21,100
2020-03-22,48
2020-03-23,82
2020-03-24,49
2020-03-25,57
2020-03-26,65
2020-03-27,87
2020-03-28,66
2020-03-29,70
2020-03-30,55
2020-03-31,73
2020-04-01,57
2020-04-02,65
2020-04-03,42
2020-04-04,48
2020-04-05,36
2020-04-06,58
2020-04-07,29
2020-04-08,34
2020-04-09,53
2020-04-10,15
2020-04-11,47
2020-04-12,43
2020-04-13,16
2020-04-14,29
2020-04-15,43
2020-04-16,39
2020-04-17,31
2020-04-18,40
2020-04-19,21
2020-04-20,57
2020-04-21,53
2020-04-22,12
2020-04-23,27
2020-04-24,39
2020-04-25,46
2020-04-26,38
2020-04-27,30
2020-04-28,17
2020-04-29,31
2020-04-30,20
2020-05-01,26
2020-05-02,23
2020-05-03,35
2020-05-04,20
2020-05-05,23
2020-05-06,14
2020-05-07,37
2020-05-08,47
2020-05-09,24
2020-05-10,26
2020-05-11,29
2020-05-12,23
2020-05-13,38
2020-05-14,46
2020-05-15,20
2020-05-16,23
2020-05-17,37
2020-05-18,50
2020-05-19,19
2020-05-20,28
2020-05-21,22
2020-05-22,23
2020-05-23,34
2020-05-24,43
2020-05-25,23
2020-05-26,35
2020-05-27,35
2020-05-28,22
2020-05-29,51
2020-05-30,18
2020-05-31,9
2020-06-01,12
2020-06-02,15
2020-06-03,28
2020-06-04,24
2020-06-05,32
2020-06-06,13
2020-06-07,22
2020-06-08,27
2020-06-09,39
2020-06-10,23
2020-06-11,26
2020-06-12,12
2020-06-13,36
2020-06-14,22
2020-06-15,30
2020-06-16,29
2020-06-17,34
2020-06-18,23
2020-06-19,32
2020-06-20,23
2020-06-21,27
2020-06-22,12
2020-06-23,9
2020-06-24,30
2020-06-25,43
2020-06-26,21
2020-06-27,18
2020-06-28,16
2020-06-29,19
2020-06-30,32
2020-07-01,12
2020-07-02,37
2020-07-03,17
2020-07-04,27
2020-07-05,18
2020-07-06,16
2020-07-07,8
2020-07-08,8
2020-07-09,34
2020-07-10,17
2020-07-11,21
2020-07-12,21
2020-07-13,23
2020-07-14,49
2020-07-15,17
2020-07-16,18
2020-07-17,20
2020-07-18,45
2020-07-19,49
2020-07-20,38
2020-07-21,29
2020-07-22,38
2020-07-23,15
2020-07-24,20
2020-07-25,32
2020-07-26,32
2020-07-27,24
2020-07-28,28
2020-07-29,10
2020-07-30,21
2020-07-31,10
2020-08-01,45
2020-08-02,34
2020-08-03,20
2020-08-04,10
2020-08-05,16
2020-08-06,11
2020-08-07,22
2020-08-08,37
2020-08-09,18
2020-08-10,21
2020-08-11,21
2020-08-12,20
2020-08-13,21
2020-08-14,20
2020-08-15,32
2020-08-16,38
2020-08-17,20
2020-08-18,15
2020-08-19,35
2020-08-20,16
2020-08-21,27
2020-08-22,56
2020-08-23,21
2020-08-24,10
2020-08-25,24
2020-08-26,25
2020-08-27,10
2020-08-28,20
2020-08-29,21
2020-08-30,25
2020-08-31,19
2020-09-01,9
2020-09-02,14
2020-09-03,19
2020-09-04,33
2020-09-05,15
2020-09-06,20
2020-09-07,9
2020-09-08,39
2020-09-09,22
2020-09-10,18
2020-09-11,32
2020-09-12,34
2020-09-13,33
2020-09-14,13
2020-09-15,18
2020-09-16,26
2020-09-17,44
2020-09-18,23
2020-09-19,28
2020-09-20,27
2020-09-21,34
2020-09-22,40
2020-09-23,30
2020-09-24,27
2020-09-25,27
2020-09-26,10
2020-09-27,37
2020-09-28,17
2020-09-29,35
2020-09-30,30
2020-10-01,30
2020-10-02,34
2020-10-03,18
2020-10-04,35
2020-10-05,37
2020-10-06,24
2020-10-07,40
2020-10-08,21
2020-10-09,25
2020-10-10,32
2020-10-11,10
2020-10-12,23
2020-10-13,38
2020-10-14,9
2020-10-15,22
2020-10-16,19
2020-10-17,35
2020-10-18,28
