date,/m/0405g08
2020-02-01,0.0
2020-02-02,74.0
2020-02-03,25.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,57.0
2020-02-07,29.0
2020-02-08,15.0
2020-02-09,29.0
2020-02-10,56.0
2020-02-11,14.0
2020-02-12,0.0
2020-02-13,42.0
2020-02-14,15.0
2020-02-15,16.0
2020-02-16,28.0
2020-02-17,13.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,14.0
2020-02-21,14.0
2020-02-22,15.0
2020-02-23,57.0
2020-02-24,13.0
2020-02-25,0.0
2020-02-26,36.0
2020-02-27,25.0
2020-02-28,26.0
2020-02-29,13.0
2020-03-01,26.0
2020-03-02,36.0
2020-03-03,13.0
2020-03-04,25.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,28.0
2020-03-08,42.0
2020-03-09,12.0
2020-03-10,13.0
2020-03-11,26.0
2020-03-12,12.0
2020-03-13,66.0
2020-03-14,42.0
2020-03-15,12.0
2020-03-16,43.0
2020-03-17,44.0
2020-03-18,47.0
2020-03-19,24.0
2020-03-20,0.0
2020-03-21,26.0
2020-03-22,64.0
2020-03-23,100.0
2020-03-24,32.0
2020-03-25,11.0
2020-03-26,22.0
2020-03-27,42.0
2020-03-28,50.0
2020-03-29,12.0
2020-03-30,32.0
2020-03-31,11.0
2020-04-01,31.0
2020-04-02,11.0
2020-04-03,45.0
2020-04-04,26.0
2020-04-05,13.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,23.0
2020-04-09,35.0
2020-04-10,12.0
2020-04-11,50.0
2020-04-12,13.0
2020-04-13,35.0
2020-04-14,22.0
2020-04-15,11.0
2020-04-16,33.0
2020-04-17,22.0
2020-04-18,36.0
2020-04-19,11.0
2020-04-20,20.0
2020-04-21,20.0
2020-04-22,32.0
2020-04-23,11.0
2020-04-24,33.0
2020-04-25,25.0
2020-04-26,63.0
2020-04-27,0.0
2020-04-28,10.0
2020-04-29,11.0
2020-04-30,41.0
2020-05-01,45.0
2020-05-02,0.0
2020-05-03,37.0
2020-05-04,0.0
2020-05-05,19.0
2020-05-06,21.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,23.0
2020-05-10,11.0
2020-05-11,20.0
2020-05-12,34.0
2020-05-13,22.0
2020-05-14,0.0
2020-05-15,12.0
2020-05-16,0.0
2020-05-17,28.0
2020-05-18,24.0
2020-05-19,11.0
2020-05-20,12.0
2020-05-21,14.0
2020-05-22,64.0
2020-05-23,27.0
2020-05-24,28.0
2020-05-25,23.0
2020-05-26,0.0
2020-05-27,24.0
2020-05-28,0.0
2020-05-29,36.0
2020-05-30,14.0
2020-05-31,27.0
2020-06-01,12.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,34.0
2020-06-06,14.0
2020-06-07,13.0
2020-06-08,0.0
2020-06-09,11.0
2020-06-10,24.0
2020-06-11,47.0
2020-06-12,23.0
2020-06-13,0.0
2020-06-14,14.0
2020-06-15,0.0
2020-06-16,34.0
2020-06-17,0.0
2020-06-18,12.0
2020-06-19,11.0
2020-06-20,13.0
2020-06-21,13.0
2020-06-22,33.0
2020-06-23,11.0
2020-06-24,34.0
2020-06-25,23.0
2020-06-26,0.0
2020-06-27,40.0
2020-06-28,34.0
2020-06-29,32.0
2020-06-30,11.0
2020-07-01,22.0
2020-07-02,0.0
2020-07-03,11.0
2020-07-04,13.0
2020-07-05,38.0
2020-07-06,21.0
2020-07-07,0.0
2020-07-08,11.0
2020-07-09,23.0
2020-07-10,11.0
2020-07-11,0.0
2020-07-12,24.0
2020-07-13,44.0
2020-07-14,22.0
2020-07-15,10.0
2020-07-16,43.0
2020-07-17,0.0
2020-07-18,24.0
2020-07-19,0.0
2020-07-20,10.0
2020-07-21,21.0
2020-07-22,21.0
2020-07-23,0.0
2020-07-24,22.0
2020-07-25,12.0
2020-07-26,12.0
2020-07-27,32.0
2020-07-28,10.0
2020-07-29,0.0
2020-07-30,32.0
2020-07-31,11.0
2020-08-01,11.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,19.0
2020-08-05,10.0
2020-08-06,41.0
2020-08-07,30.0
2020-08-08,11.0
2020-08-09,21.0
2020-08-10,10.0
2020-08-11,10.0
2020-08-12,46.0
2020-08-13,10.0
2020-08-14,30.0
2020-08-15,52.0
2020-08-16,21.0
2020-08-17,19.0
2020-08-18,19.0
2020-08-19,20.0
2020-08-20,20.0
2020-08-21,20.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,20.0
2020-08-25,10.0
2020-08-26,0.0
2020-08-27,21.0
2020-08-28,0.0
2020-08-29,22.0
2020-08-30,11.0
2020-08-31,32.0
2020-09-01,11.0
2020-09-02,0.0
2020-09-03,11.0
2020-09-04,44.0
2020-09-05,23.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,12.0
2020-09-09,47.0
2020-09-10,49.0
2020-09-11,38.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,25.0
2020-09-16,0.0
2020-09-17,13.0
2020-09-18,0.0
2020-09-19,13.0
2020-09-20,13.0
2020-09-21,25.0
2020-09-22,0.0
2020-09-23,12.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,14.0
2020-09-27,13.0
2020-09-28,0.0
2020-09-29,54.0
2020-09-30,39.0
2020-10-01,26.0
2020-10-02,34.0
2020-10-03,25.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,32.0
2020-10-07,22.0
2020-10-08,12.0
2020-10-09,13.0
2020-10-10,27.0
2020-10-11,13.0
2020-10-12,36.0
2020-10-13,23.0
2020-10-14,35.0
2020-10-15,25.0
2020-10-16,38.0
2020-10-17,14.0
2020-10-18,28.0
2020-10-19,12.0
2020-10-20,12.0
2020-10-21,11.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,14.0
2020-10-25,26.0
2020-10-26,0.0
2020-10-27,25.0
2020-10-28,0.0
2020-10-29,17.072975781349463
2020-10-30,46.95068339871103
2020-10-31,33.292302773631455
2020-11-01,34.145951562698926
2020-11-02,32.438653984563985
2020-11-03,0.0
2020-11-04,29.877707617361562
2020-11-05,15.365678203214518
2020-11-06,15.365678203214518
2020-11-07,15.365678203214518
2020-11-08,16.219326992281992
2020-11-09,0.0
2020-11-10,33.292302773631455
2020-11-11,0.0
2020-11-12,17.072975781349463
2020-11-13,0.0
2020-11-14,49.51162976591345
2020-11-15,17.072975781349463
2020-11-16,32.438653984563985
2020-11-17,0.0
2020-11-18,33.292302773631455
2020-11-19,67.43825433633039
2020-11-20,17.072975781349463
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,62.31636160192554
2020-11-25,14.512029414147044
2020-11-26,15.365678203214518
2020-11-27,15.365678203214518
2020-11-28,14.512029414147044
2020-11-29,16.219326992281992
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,17.072975781349463
2020-12-05,17.926624570416937
2020-12-06,17.926624570416937
2020-12-07,17.072975781349463
2020-12-08,16.219326992281992
2020-12-09,0.0
2020-12-10,16.219326992281992
2020-12-11,0.0
2020-12-12,34.145951562698926
2020-12-13,0.0
2020-12-14,31.58500519549651
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,70.85284949260027
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,53.779873711250815
2020-12-23,17.926624570416937
2020-12-24,21.34121972668683
2020-12-25,42.68243945337366
2020-12-26,0.0
2020-12-27,18.78027335948441
2020-12-28,17.072975781349463
2020-12-29,17.926624570416937
2020-12-30,17.926624570416937
2020-12-31,19.633922148551886
2021-01-01,19.633922148551886
2021-01-02,0.0
2021-01-03,35.853249140833874
2021-01-04,16.219326992281992
2021-01-05,0.0
2021-01-06,17.072975781349463
2021-01-07,17.072975781349463
2021-01-08,17.072975781349463
2021-01-09,36.706897929901345
2021-01-10,34.999600351766404
2021-01-11,34.145951562698926
2021-01-12,34.145951562698926
2021-01-13,17.072975781349463
2021-01-14,34.145951562698926
2021-01-15,17.072975781349463
2021-01-16,36.706897929901345
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,30.731356406429036
2021-01-21,0.0
2021-01-22,17.072975781349463
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,17.072975781349463
2021-01-26,16.219326992281992
2021-01-27,16.219326992281992
2021-01-28,33.292302773631455
2021-01-29,0.0
2021-01-30,17.926624570416937
2021-01-31,35.853249140833874
2021-02-01,16.219326992281992
2021-02-02,0.0
2021-02-03,32.438653984563985
2021-02-04,16.219326992281992
2021-02-05,17.072975781349463
2021-02-06,17.926624570416937
2021-02-07,34.999600351766404
2021-02-08,0.0
2021-02-09,33.292302773631455
2021-02-10,16.219326992281992
2021-02-11,17.072975781349463
2021-02-12,33.292302773631455
2021-02-13,37.56054671896882
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,33.292302773631455
2021-02-17,34.999600351766404
2021-02-18,16.219326992281992
2021-02-19,34.145951562698926
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,29.877707617361562
2021-02-23,17.072975781349463
2021-02-24,34.999600351766404
2021-02-25,17.072975781349463
2021-02-26,17.072975781349463
2021-02-27,19.633922148551886
2021-02-28,52.92622492218334
2021-03-01,0.0
2021-03-02,17.072975781349463
2021-03-03,16.219326992281992
2021-03-04,34.145951562698926
2021-03-05,34.999600351766404
2021-03-06,56.340820078453234
2021-03-07,52.92622492218334
2021-03-08,85.36487890674732
2021-03-09,17.926624570416937
2021-03-10,34.145951562698926
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,14.512029414147044
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,34.145951562698926
2021-03-20,0.0
2021-03-21,35.853249140833874
2021-03-22,0.0
2021-03-23,34.145951562698926
2021-03-24,0.0
2021-03-25,17.926624570416937
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,81.95028375047742
2021-03-29,0.0
2021-03-30,17.926624570416937
2021-03-31,51.218927344048396
2021-04-01,0.0
2021-04-02,18.78027335948441
2021-04-03,19.633922148551886
2021-04-04,39.26784429710377
2021-04-05,18.78027335948441
2021-04-06,14.512029414147044
2021-04-07,14.512029414147044
2021-04-08,31.58500519549651
2021-04-09,30.731356406429036
2021-04-10,16.219326992281992
2021-04-11,16.219326992281992
2021-04-12,15.365678203214518
2021-04-13,31.58500519549651
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,33.292302773631455
2021-04-17,17.072975781349463
2021-04-18,0.0
2021-04-19,49.51162976591345
2021-04-20,16.219326992281992
2021-04-21,16.219326992281992
2021-04-22,17.072975781349463
2021-04-23,0.0
2021-04-24,54.633522500318286
2021-04-25,34.145951562698926
2021-04-26,0.0
2021-04-27,30.731356406429036
2021-04-28,14.512029414147044
2021-04-29,30.731356406429036
2021-04-30,15.365678203214518
2021-05-01,15.365678203214518
2021-05-02,17.926624570416937
2021-05-03,16.219326992281992
2021-05-04,16.219326992281992
2021-05-05,0.0
2021-05-06,16.219326992281992
2021-05-07,17.072975781349463
2021-05-08,37.56054671896882
2021-05-09,17.072975781349463
2021-05-10,14.512029414147044
2021-05-11,15.365678203214518
2021-05-12,32.438653984563985
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,64.87730796912797
2021-05-16,0.0
2021-05-17,15.365678203214518
2021-05-18,30.731356406429036
2021-05-19,16.219326992281992
2021-05-20,67.43825433633039
2021-05-21,46.95068339871103
2021-05-22,16.219326992281992
2021-05-23,48.65798097684597
2021-05-24,15.365678203214518
2021-05-25,15.365678203214518
2021-05-26,63.17001039099302
2021-05-27,0.0
2021-05-28,36.706897929901345
2021-05-29,0.0
2021-05-30,21.978832398551013
2021-05-31,19.04832141207754
2021-06-01,37.36401507753672
2021-06-02,0.0
2021-06-03,40.294526064010185
2021-06-04,41.027153810628555
2021-06-05,46.15554803695712
2021-06-06,44.69029254372039
2021-06-07,19.78094915869591
2021-06-08,19.78094915869591
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,32.50156611091795
2021-06-13,28.990448020103454
