date,/g/11j2cc_qll
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,1.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,0.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,4.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,2.0
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,6.0
2020-03-04,5.0
2020-03-05,8.0
2020-03-06,6.0
2020-03-07,5.0
2020-03-08,5.0
2020-03-09,7.0
2020-03-10,9.0
2020-03-11,13.0
2020-03-12,24.0
2020-03-13,23.0
2020-03-14,27.0
2020-03-15,35.0
2020-03-16,34.0
2020-03-17,31.0
2020-03-18,32.0
2020-03-19,35.0
2020-03-20,35.0
2020-03-21,29.0
2020-03-22,38.0
2020-03-23,29.0
2020-03-24,29.0
2020-03-25,33.0
2020-03-26,35.0
2020-03-27,46.0
2020-03-28,34.0
2020-03-29,32.0
2020-03-30,33.0
2020-03-31,35.0
2020-04-01,33.0
2020-04-02,33.0
2020-04-03,31.0
2020-04-04,29.0
2020-04-05,28.0
2020-04-06,29.0
2020-04-07,30.0
2020-04-08,31.0
2020-04-09,31.0
2020-04-10,31.0
2020-04-11,28.0
2020-04-12,29.0
2020-04-13,30.0
2020-04-14,32.0
2020-04-15,33.0
2020-04-16,28.0
2020-04-17,27.0
2020-04-18,23.0
2020-04-19,24.0
2020-04-20,23.0
2020-04-21,29.0
2020-04-22,24.0
2020-04-23,21.0
2020-04-24,30.0
2020-04-25,23.0
2020-04-26,22.0
2020-04-27,24.0
2020-04-28,27.0
2020-04-29,24.0
2020-04-30,27.0
2020-05-01,22.0
2020-05-02,22.0
2020-05-03,24.0
2020-05-04,27.0
2020-05-05,24.0
2020-05-06,23.0
2020-05-07,21.0
2020-05-08,23.0
2020-05-09,19.0
2020-05-10,21.0
2020-05-11,25.0
2020-05-12,26.0
2020-05-13,26.0
2020-05-14,22.0
2020-05-15,22.0
2020-05-16,19.0
2020-05-17,19.0
2020-05-18,22.0
2020-05-19,20.0
2020-05-20,20.0
2020-05-21,20.0
2020-05-22,21.0
2020-05-23,18.0
2020-05-24,16.0
2020-05-25,18.0
2020-05-26,18.0
2020-05-27,18.0
2020-05-28,23.0
2020-05-29,21.0
2020-05-30,15.0
2020-05-31,18.0
2020-06-01,18.0
2020-06-02,17.0
2020-06-03,20.0
2020-06-04,20.0
2020-06-05,16.0
2020-06-06,13.0
2020-06-07,17.0
2020-06-08,19.0
2020-06-09,19.0
2020-06-10,16.0
2020-06-11,17.0
2020-06-12,16.0
2020-06-13,12.0
2020-06-14,15.0
2020-06-15,17.0
2020-06-16,18.0
2020-06-17,16.0
2020-06-18,19.0
2020-06-19,16.0
2020-06-20,14.0
2020-06-21,18.0
2020-06-22,22.0
2020-06-23,21.0
2020-06-24,21.0
2020-06-25,20.0
2020-06-26,18.0
2020-06-27,15.0
2020-06-28,22.0
2020-06-29,18.0
2020-06-30,18.0
2020-07-01,17.0
2020-07-02,16.0
2020-07-03,14.0
2020-07-04,16.0
2020-07-05,18.0
2020-07-06,20.0
2020-07-07,19.0
2020-07-08,21.0
2020-07-09,24.0
2020-07-10,22.0
2020-07-11,16.0
2020-07-12,23.0
2020-07-13,27.0
2020-07-14,24.0
2020-07-15,24.0
2020-07-16,25.0
2020-07-17,33.0
2020-07-18,32.0
2020-07-19,29.0
2020-07-20,28.0
2020-07-21,26.0
2020-07-22,32.0
2020-07-23,37.0
2020-07-24,44.0
2020-07-25,41.0
2020-07-26,38.0
2020-07-27,56.0
2020-07-28,48.0
2020-07-29,48.0
2020-07-30,49.0
2020-07-31,42.0
2020-08-01,38.0
2020-08-02,46.0
2020-08-03,43.0
2020-08-04,37.0
2020-08-05,100.0
2020-08-06,37.0
2020-08-07,34.0
