date,/m/01b_21_0,/m/01b_21,batch_id
2020-02-01,22.0,22.0,1
2020-02-02,39.0,39.0,1
2020-02-03,23.0,23.0,1
2020-02-04,28.0,28.0,1
2020-02-05,19.0,19.0,1
2020-02-06,19.0,19.0,1
2020-02-07,25.0,25.0,1
2020-02-08,31.0,31.0,1
2020-02-09,27.0,27.0,1
2020-02-10,23.0,23.0,1
2020-02-11,27.0,27.0,1
2020-02-12,29.0,29.0,1
2020-02-13,29.0,29.0,1
2020-02-14,22.0,22.0,1
2020-02-15,36.0,36.0,1
2020-02-16,27.0,27.0,1
2020-02-17,17.0,17.0,1
2020-02-18,20.0,20.0,1
2020-02-19,21.0,21.0,1
2020-02-20,22.0,22.0,1
2020-02-21,24.0,24.0,1
2020-02-22,26.0,26.0,1
2020-02-23,17.0,17.0,1
2020-02-24,22.0,22.0,1
2020-02-25,27.0,27.0,1
2020-02-26,28.0,28.0,1
2020-02-27,29.0,29.0,1
2020-02-28,28.0,28.0,1
2020-02-29,29.0,29.0,1
2020-03-01,32.0,32.0,1
2020-03-02,27.0,27.0,1
2020-03-03,28.0,28.0,1
2020-03-04,30.0,30.0,1
2020-03-05,30.0,30.0,1
2020-03-06,25.0,25.0,1
2020-03-07,25.0,25.0,1
2020-03-08,35.0,35.0,1
2020-03-09,30.0,30.0,1
2020-03-10,53.0,53.0,1
2020-03-11,53.0,53.0,1
2020-03-12,76.0,76.0,1
2020-03-13,87.0,87.0,1
2020-03-14,100.0,100.0,1
2020-03-15,78.0,78.0,1
2020-03-16,73.0,73.0,1
2020-03-17,59.0,59.0,1
2020-03-18,58.0,58.0,1
2020-03-19,64.0,64.0,1
2020-03-20,73.0,73.0,1
2020-03-21,68.0,68.0,1
2020-03-22,71.0,71.0,1
2020-03-23,54.0,54.0,1
2020-03-24,48.0,48.0,1
2020-03-25,45.0,45.0,1
2020-03-26,51.0,51.0,1
2020-03-27,34.0,34.0,1
2020-03-28,33.0,33.0,1
2020-03-29,47.0,47.0,1
2020-03-30,33.0,33.0,1
2020-03-31,30.0,30.0,1
2020-04-01,32.0,32.0,1
2020-04-02,26.0,26.0,1
2020-04-03,26.0,26.0,1
2020-04-04,26.0,26.0,1
2020-04-05,21.0,21.0,1
2020-04-06,19.0,19.0,1
2020-04-07,24.0,24.0,1
2020-04-08,21.0,21.0,1
2020-04-09,24.0,24.0,1
2020-04-10,19.0,19.0,1
2020-04-11,23.0,23.0,1
2020-04-12,21.0,21.0,1
2020-04-13,21.0,21.0,1
2020-04-14,21.0,21.0,1
2020-04-15,12.0,12.0,1
2020-04-16,21.0,21.0,1
2020-04-17,27.0,27.0,1
2020-04-18,21.0,21.0,1
2020-04-19,18.0,18.0,1
2020-04-20,17.0,17.0,1
2020-04-21,12.0,12.0,1
2020-04-22,18.0,18.0,1
2020-04-23,17.0,17.0,1
2020-04-24,18.0,18.0,1
2020-04-25,13.0,13.0,1
2020-04-26,17.0,17.0,1
2020-04-27,20.0,20.0,1
2020-04-28,16.0,16.0,1
2020-04-29,15.0,15.0,1
2020-04-30,18.0,18.0,1
2020-05-01,11.0,11.0,1
2020-05-02,16.0,16.0,1
2020-05-03,17.0,17.0,1
2020-05-04,14.0,14.0,1
2020-05-05,12.0,12.0,1
2020-05-06,13.0,13.0,1
2020-05-07,12.0,12.0,1
2020-05-08,10.0,10.0,1
2020-05-09,10.0,10.0,1
2020-05-10,13.0,13.0,1
2020-05-11,13.0,13.0,1
2020-05-12,11.0,11.0,1
2020-05-13,16.0,16.0,1
2020-05-14,12.0,12.0,1
2020-05-15,10.0,10.0,1
2020-05-16,13.0,13.0,1
2020-05-17,9.0,9.0,1
2020-05-18,7.0,7.0,1
2020-05-19,9.0,9.0,1
2020-05-20,6.0,6.0,1
2020-05-21,9.0,9.0,1
2020-05-22,7.0,7.0,1
2020-05-23,10.0,10.0,1
2020-05-24,9.0,9.0,1
2020-05-25,5.0,5.0,1
2020-05-26,12.0,12.0,1
2020-05-27,8.0,8.0,1
2020-05-28,11.0,11.0,1
2020-05-29,9.0,9.0,1
2020-05-30,10.0,10.0,1
2020-05-31,12.0,12.0,1
2020-06-01,13.0,13.0,1
2020-06-02,11.0,11.0,1
2020-06-03,5.0,5.0,1
2020-06-04,8.0,8.0,1
2020-06-05,10.0,10.0,1
2020-06-06,5.0,5.0,1
2020-06-07,10.0,10.0,1
2020-06-08,9.0,9.0,1
2020-06-09,8.0,8.0,1
2020-06-10,5.0,5.0,1
2020-06-11,11.0,11.0,1
2020-06-12,6.0,6.0,1
2020-06-13,9.0,9.0,1
2020-06-14,8.0,8.0,1
2020-06-15,9.0,9.0,1
2020-06-16,6.0,6.0,1
2020-06-17,8.0,8.0,1
2020-06-18,6.0,6.0,1
2020-06-19,7.0,7.0,1
2020-06-20,7.0,7.0,1
2020-06-21,5.0,5.0,1
2020-06-22,4.0,4.0,1
2020-06-23,9.0,9.0,1
2020-06-24,5.0,5.0,1
2020-06-25,8.0,8.0,1
2020-06-26,4.0,4.0,1
2020-06-27,6.0,6.0,1
2020-06-28,9.0,9.0,1
2020-06-29,5.0,5.0,1
2020-06-30,3.0,3.0,1
2020-07-01,3.0,3.0,1
2020-07-02,6.0,6.0,1
2020-07-03,10.0,10.0,1
2020-07-04,7.0,7.0,1
2020-07-05,5.0,5.0,1
2020-07-06,10.0,10.0,1
2020-07-07,4.0,4.0,1
2020-07-08,9.0,9.0,1
2020-07-09,7.0,7.0,1
2020-07-10,8.0,8.0,1
2020-07-11,10.0,10.0,1
2020-07-12,5.0,5.0,1
2020-07-13,7.0,7.0,1
2020-07-14,6.0,6.0,1
2020-07-15,9.0,9.0,1
2020-07-16,8.0,8.0,1
2020-07-17,8.0,8.0,1
2020-07-18,7.0,7.0,1
2020-07-19,14.0,14.0,1
2020-07-20,9.0,9.0,1
2020-07-21,8.0,8.0,1
2020-07-22,6.0,6.0,1
2020-07-23,13.0,13.0,1
2020-07-24,10.0,10.0,1
2020-07-25,13.0,13.0,1
2020-07-26,13.0,13.0,1
2020-07-27,9.0,9.0,1
2020-07-28,12.0,12.0,1
2020-07-29,10.0,10.0,1
2020-07-30,10.0,10.0,1
2020-07-31,8.0,8.0,1
2020-08-01,9.0,9.0,1
2020-08-02,8.0,8.0,1
2020-08-03,11.0,11.0,1
2020-08-04,4.0,4.0,1
2020-08-05,8.0,8.0,1
2020-08-06,9.0,9.0,1
2020-08-07,13.0,13.0,1
2020-08-08,8.0,8.0,1
2020-08-09,16.0,16.0,1
2020-08-10,13.0,13.0,1
2020-08-11,11.0,11.0,1
2020-08-12,12.0,12.0,1
2020-08-13,8.0,8.0,1
2020-08-14,11.0,11.0,1
2020-08-15,12.0,12.0,1
2020-08-16,13.0,13.0,1
2020-08-17,6.0,6.0,1
2020-08-18,14.0,14.0,1
2020-08-19,9.0,9.0,1
2020-08-20,7.0,7.0,1
2020-08-21,11.0,11.0,1
2020-08-22,13.0,13.0,1
2020-08-23,14.0,14.0,1
2020-08-24,13.0,13.0,1
2020-08-25,12.0,12.0,1
2020-08-26,10.0,10.0,1
2020-08-27,12.0,12.0,1
2020-08-28,9.0,9.0,1
2020-08-29,11.0,11.0,1
2020-08-30,12.0,12.0,1
2020-08-31,14.0,14.0,1
2020-09-01,19.0,19.0,1
2020-09-02,9.0,9.0,1
2020-09-03,11.0,11.0,1
2020-09-04,12.0,12.0,1
2020-09-05,7.0,7.0,1
2020-09-06,14.0,14.0,1
2020-09-07,12.0,12.0,1
2020-09-08,12.0,12.0,1
2020-09-09,17.0,17.0,1
2020-09-10,12.0,12.0,1
2020-09-11,14.0,14.0,1
2020-09-12,11.0,11.0,1
2020-09-13,16.0,16.0,1
2020-09-14,14.0,14.0,1
2020-09-15,17.0,17.0,1
2020-09-16,12.0,12.0,1
2020-09-17,14.0,14.0,1
2020-09-18,17.0,17.0,1
2020-09-19,18.0,18.0,1
2020-09-20,20.0,20.0,1
2020-09-21,11.0,11.0,1
2020-09-22,17.0,17.0,1
2020-09-23,10.0,10.0,1
2020-09-24,12.0,12.0,1
2020-09-25,12.0,12.0,1
2020-09-26,14.0,14.0,1
2020-09-27,19.0,19.0,1
2020-09-28,19.0,19.0,1
2020-09-29,13.0,13.0,1
2020-09-30,14.0,14.0,1
2020-10-01,18.0,18.0,1
2020-10-02,12.0,12.0,1
2020-10-03,15.0,15.0,1
2020-10-04,18.0,18.0,1
2020-10-05,18.0,18.0,1
2020-10-06,14.0,14.0,1
2020-10-07,11.0,11.0,1
2020-10-08,20.0,20.0,1
2020-10-09,15.0,15.0,1
2020-10-10,17.0,17.0,1
2020-10-11,19.0,19.0,1
2020-10-12,15.0,15.0,1
2020-10-13,15.0,15.0,1
2020-10-14,13.0,13.0,1
2020-10-15,19.0,19.0,1
2020-10-16,15.0,15.0,1
2020-10-17,13.0,13.0,1
2020-10-18,18.0,18.0,1
2020-10-19,20.0,20.0,1
2020-10-20,13.0,13.0,1
2020-10-21,12.0,12.0,1
2020-10-22,17.0,17.0,1
2020-10-23,16.0,16.0,1
2020-10-24,17.0,17.0,1
2020-10-25,20.0,20.0,1
2020-10-26,23.0,23.0,1
2020-10-27,17.0,17.0,1
2020-09-28,50.0,50.0,2
2020-09-29,51.0,51.0,2
2020-09-30,50.0,50.0,2
2020-10-01,47.0,47.0,2
2020-10-02,30.0,30.0,2
2020-10-03,42.0,42.0,2
2020-10-04,43.0,43.0,2
2020-10-05,48.0,48.0,2
2020-10-06,36.0,36.0,2
2020-10-07,57.0,57.0,2
2020-10-08,42.0,42.0,2
