date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,1.0,1.0,1
2020-02-13,1.0,1.0,1
2020-02-14,1.0,1.0,1
2020-02-15,1.0,1.0,1
2020-02-16,1.0,1.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,1.0,1.0,1
2020-02-21,1.0,1.0,1
2020-02-22,0.0,0.0,1
2020-02-23,1.0,1.0,1
2020-02-24,3.0,3.0,1
2020-02-25,3.0,3.0,1
2020-02-26,2.0,2.0,1
2020-02-27,5.0,5.0,1
2020-02-28,4.0,4.0,1
2020-02-29,4.0,4.0,1
2020-03-01,5.0,5.0,1
2020-03-02,6.0,6.0,1
2020-03-03,5.0,5.0,1
2020-03-04,5.0,5.0,1
2020-03-05,11.0,11.0,1
2020-03-06,6.0,6.0,1
2020-03-07,7.0,7.0,1
2020-03-08,8.0,8.0,1
2020-03-09,7.0,7.0,1
2020-03-10,10.0,10.0,1
2020-03-11,16.0,16.0,1
2020-03-12,22.0,22.0,1
2020-03-13,35.0,35.0,1
2020-03-14,40.0,40.0,1
2020-03-15,41.0,41.0,1
2020-03-16,46.0,46.0,1
2020-03-17,65.0,65.0,1
2020-03-18,58.0,58.0,1
2020-03-19,53.0,53.0,1
2020-03-20,61.0,61.0,1
2020-03-21,51.0,51.0,1
2020-03-22,41.0,41.0,1
2020-03-23,47.0,47.0,1
2020-03-24,60.0,60.0,1
2020-03-25,61.0,61.0,1
2020-03-26,55.0,55.0,1
2020-03-27,55.0,55.0,1
2020-03-28,48.0,48.0,1
2020-03-29,58.0,58.0,1
2020-03-30,37.0,37.0,1
2020-03-31,48.0,48.0,1
2020-04-01,48.0,48.0,1
2020-04-02,41.0,41.0,1
2020-04-03,32.0,32.0,1
2020-04-04,42.0,42.0,1
2020-04-05,40.0,40.0,1
2020-04-06,47.0,47.0,1
2020-04-07,42.0,42.0,1
2020-04-08,51.0,51.0,1
2020-04-09,36.0,36.0,1
2020-04-10,36.0,36.0,1
2020-04-11,29.0,29.0,1
2020-04-12,36.0,36.0,1
2020-04-13,39.0,39.0,1
2020-04-14,48.0,48.0,1
2020-04-15,49.0,49.0,1
2020-04-16,39.0,39.0,1
2020-04-17,42.0,42.0,1
2020-04-18,48.0,48.0,1
2020-04-19,35.0,35.0,1
2020-04-20,41.0,41.0,1
2020-04-21,38.0,38.0,1
2020-04-22,39.0,39.0,1
2020-04-23,37.0,37.0,1
2020-04-24,38.0,38.0,1
2020-04-25,38.0,38.0,1
