date,/m/01b_06_0,/m/01b_06,batch_id
2020-02-01,19.0,19.0,1.0
2020-02-02,17.0,17.0,1.0
2020-02-03,20.0,20.0,1.0
2020-02-04,18.0,18.0,1.0
2020-02-05,17.0,17.0,1.0
2020-02-06,16.0,16.0,1.0
2020-02-07,19.0,19.0,1.0
2020-02-08,27.0,27.0,1.0
2020-02-09,27.0,27.0,1.0
2020-02-10,21.0,21.0,1.0
2020-02-11,20.0,20.0,1.0
2020-02-12,19.0,19.0,1.0
2020-02-13,15.0,15.0,1.0
2020-02-14,12.0,12.0,1.0
2020-02-15,20.0,20.0,1.0
2020-02-16,19.0,19.0,1.0
2020-02-17,20.0,20.0,1.0
2020-02-18,13.0,13.0,1.0
2020-02-19,12.0,12.0,1.0
2020-02-20,15.0,15.0,1.0
2020-02-21,9.0,9.0,1.0
2020-02-22,17.0,17.0,1.0
2020-02-23,29.0,29.0,1.0
2020-02-24,46.0,46.0,1.0
2020-02-25,31.0,31.0,1.0
2020-02-26,36.0,36.0,1.0
2020-02-27,42.0,42.0,1.0
2020-02-28,48.0,48.0,1.0
2020-02-29,44.0,44.0,1.0
2020-03-01,42.0,42.0,1.0
2020-03-02,40.0,40.0,1.0
2020-03-03,34.0,34.0,1.0
2020-03-04,32.0,32.0,1.0
2020-03-05,34.0,34.0,1.0
2020-03-06,41.0,41.0,1.0
2020-03-07,33.0,33.0,1.0
2020-03-08,33.0,33.0,1.0
2020-03-09,37.0,37.0,1.0
2020-03-10,46.0,46.0,1.0
2020-03-11,43.0,43.0,1.0
2020-03-12,71.0,71.0,1.0
2020-03-13,88.0,88.0,1.0
2020-03-14,99.0,99.0,1.0
2020-03-15,89.0,89.0,1.0
2020-03-16,100.0,100.0,1.0
2020-03-17,62.0,62.0,1.0
2020-03-18,63.0,63.0,1.0
2020-03-19,57.0,57.0,1.0
2020-03-20,44.0,44.0,1.0
2020-03-21,55.0,55.0,1.0
2020-03-22,49.0,49.0,1.0
2020-03-23,42.0,42.0,1.0
2020-03-24,37.0,37.0,1.0
2020-03-25,45.0,45.0,1.0
2020-03-26,38.0,38.0,1.0
2020-03-27,51.0,51.0,1.0
2020-03-28,51.0,51.0,1.0
2020-03-29,43.0,43.0,1.0
2020-03-30,27.0,27.0,1.0
2020-03-31,25.0,25.0,1.0
2020-04-01,26.0,26.0,1.0
2020-04-02,23.0,23.0,1.0
2020-04-03,17.0,17.0,1.0
2020-04-04,34.0,34.0,1.0
2020-04-05,25.0,25.0,1.0
2020-04-06,19.0,19.0,1.0
2020-04-07,19.0,19.0,1.0
2020-04-08,20.0,20.0,1.0
2020-04-09,20.0,20.0,1.0
2020-04-10,13.0,13.0,1.0
2020-04-11,17.0,17.0,1.0
2020-04-12,20.0,20.0,1.0
2020-04-13,19.0,19.0,1.0
2020-04-14,16.0,16.0,1.0
2020-04-15,18.0,18.0,1.0
2020-04-16,18.0,18.0,1.0
2020-04-17,16.0,16.0,1.0
2020-04-18,14.0,14.0,1.0
2020-04-19,22.0,22.0,1.0
2020-04-20,13.0,13.0,1.0
2020-04-21,15.0,15.0,1.0
2020-04-22,13.0,13.0,1.0
2020-04-23,11.0,11.0,1.0
2020-04-24,13.0,13.0,1.0
2020-04-25,14.0,14.0,1.0
2020-04-26,18.0,18.0,1.0
2020-04-27,14.0,14.0,1.0
2020-04-28,10.0,10.0,1.0
2020-04-29,14.0,14.0,1.0
2020-04-30,16.0,16.0,1.0
2020-05-01,12.0,12.0,1.0
2020-05-02,17.0,17.0,1.0
2020-05-03,9.0,9.0,1.0
2020-05-04,11.0,11.0,1.0
2020-05-05,12.0,12.0,1.0
2020-05-06,9.0,9.0,1.0
2020-05-07,12.0,12.0,1.0
2020-05-08,12.0,12.0,1.0
2020-05-09,18.0,18.0,1.0
2020-05-10,17.0,17.0,1.0
2020-05-11,14.0,14.0,1.0
2020-05-12,14.0,14.0,1.0
2020-05-13,14.0,14.0,1.0
2020-05-14,15.0,15.0,1.0
2020-05-15,14.0,14.0,1.0
2020-05-16,15.0,15.0,1.0
2020-05-17,13.0,13.0,1.0
2020-05-18,13.0,13.0,1.0
2020-05-19,17.0,17.0,1.0
2020-05-20,21.0,21.0,1.0
2020-05-21,9.0,9.0,1.0
2020-05-22,16.0,16.0,1.0
2020-05-23,13.0,13.0,1.0
2020-05-24,19.0,19.0,1.0
2020-05-25,13.0,13.0,1.0
2020-05-26,13.0,13.0,1.0
2020-05-27,14.0,14.0,1.0
2020-05-28,9.0,9.0,1.0
2020-05-29,9.0,9.0,1.0
2020-05-30,12.0,12.0,1.0
2020-05-31,9.0,9.0,1.0
2020-06-01,13.0,13.0,1.0
2020-06-02,9.0,9.0,1.0
2020-06-03,11.0,11.0,1.0
2020-06-04,12.0,12.0,1.0
2020-06-05,10.0,10.0,1.0
2020-06-06,11.0,11.0,1.0
2020-06-07,12.0,12.0,1.0
2020-06-08,10.0,10.0,1.0
2020-06-09,12.0,12.0,1.0
2020-06-10,13.0,13.0,1.0
2020-06-11,10.0,10.0,1.0
2020-06-12,10.0,10.0,1.0
2020-06-13,9.0,9.0,1.0
