date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,1.0,1.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,1.0,1.0,1
2020-02-25,4.0,4.0,1
2020-02-26,1.0,1.0,1
2020-02-27,1.0,1.0,1
2020-02-28,2.0,2.0,1
2020-02-29,1.0,1.0,1
2020-03-01,1.0,1.0,1
2020-03-02,2.0,2.0,1
2020-03-03,2.0,2.0,1
2020-03-04,2.0,2.0,1
2020-03-05,6.0,6.0,1
2020-03-06,6.0,6.0,1
2020-03-07,5.0,5.0,1
2020-03-08,7.0,7.0,1
2020-03-09,8.0,8.0,1
2020-03-10,11.0,11.0,1
2020-03-11,9.0,9.0,1
2020-03-12,13.0,13.0,1
2020-03-13,16.0,16.0,1
2020-03-14,19.0,19.0,1
2020-03-15,20.0,20.0,1
2020-03-16,21.0,21.0,1
2020-03-17,23.0,23.0,1
2020-03-18,28.0,28.0,1
2020-03-19,21.0,21.0,1
2020-03-20,21.0,21.0,1
2020-03-21,30.0,30.0,1
2020-03-22,27.0,27.0,1
2020-03-23,21.0,21.0,1
2020-03-24,17.0,17.0,1
2020-03-25,20.0,20.0,1
2020-03-26,25.0,25.0,1
2020-03-27,20.0,20.0,1
2020-03-28,18.0,18.0,1
2020-03-29,19.0,19.0,1
2020-03-30,18.0,18.0,1
2020-03-31,24.0,24.0,1
2020-04-01,21.0,21.0,1
2020-04-02,24.0,24.0,1
2020-04-03,22.0,22.0,1
2020-04-04,24.0,24.0,1
2020-04-05,23.0,23.0,1
2020-04-06,18.0,18.0,1
2020-04-07,17.0,17.0,1
2020-04-08,24.0,24.0,1
2020-04-09,24.0,24.0,1
2020-04-10,25.0,25.0,1
2020-04-11,19.0,19.0,1
2020-04-12,20.0,20.0,1
2020-04-13,24.0,24.0,1
2020-04-14,14.0,14.0,1
2020-04-15,17.0,17.0,1
2020-04-16,20.0,20.0,1
2020-04-17,21.0,21.0,1
2020-04-18,22.0,22.0,1
2020-04-19,19.0,19.0,1
2020-04-20,17.0,17.0,1
2020-04-21,23.0,23.0,1
2020-04-22,21.0,21.0,1
2020-04-23,22.0,22.0,1
2020-04-24,21.0,21.0,1
2020-04-25,15.0,15.0,1
