date,/g/11j8_9sv06_0,/g/11j8_9sv06,batch_id
2020-02-01,7.0,7.0,1
2020-02-02,3.0,3.0,1
2020-02-03,6.0,6.0,1
2020-02-04,3.0,3.0,1
2020-02-05,5.0,5.0,1
2020-02-06,6.0,6.0,1
2020-02-07,4.0,4.0,1
2020-02-08,8.0,8.0,1
2020-02-09,4.0,4.0,1
2020-02-10,10.0,10.0,1
2020-02-11,7.0,7.0,1
2020-02-12,6.0,6.0,1
2020-02-13,7.0,7.0,1
2020-02-14,3.0,3.0,1
2020-02-15,3.0,3.0,1
2020-02-16,1.0,1.0,1
2020-02-17,3.0,3.0,1
2020-02-18,1.0,1.0,1
2020-02-19,2.0,2.0,1
2020-02-20,1.0,1.0,1
2020-02-21,3.0,3.0,1
2020-02-22,4.0,4.0,1
2020-02-23,2.0,2.0,1
2020-02-24,7.0,7.0,1
2020-02-25,20.0,20.0,1
2020-02-26,16.0,16.0,1
2020-02-27,19.0,19.0,1
2020-02-28,15.0,15.0,1
2020-02-29,20.0,20.0,1
2020-03-01,16.0,16.0,1
2020-03-02,23.0,23.0,1
2020-03-03,18.0,18.0,1
2020-03-04,14.0,14.0,1
2020-03-05,19.0,19.0,1
2020-03-06,22.0,22.0,1
2020-03-07,15.0,15.0,1
2020-03-08,25.0,25.0,1
2020-03-09,30.0,30.0,1
2020-03-10,29.0,29.0,1
2020-03-11,32.0,32.0,1
2020-03-12,49.0,49.0,1
2020-03-13,55.0,55.0,1
2020-03-14,64.0,64.0,1
2020-03-15,68.0,68.0,1
2020-03-16,81.0,81.0,1
2020-03-17,83.0,83.0,1
2020-03-18,80.0,80.0,1
2020-03-19,47.0,47.0,1
2020-03-20,47.0,47.0,1
2020-03-21,43.0,43.0,1
2020-03-22,56.0,56.0,1
2020-03-23,51.0,51.0,1
2020-03-24,41.0,41.0,1
2020-03-25,43.0,43.0,1
2020-03-26,42.0,42.0,1
2020-03-27,40.0,40.0,1
2020-03-28,57.0,57.0,1
2020-03-29,46.0,46.0,1
2020-03-30,31.0,31.0,1
2020-03-31,32.0,32.0,1
2020-04-01,35.0,35.0,1
2020-04-02,43.0,43.0,1
2020-04-03,43.0,43.0,1
2020-04-04,46.0,46.0,1
2020-04-05,38.0,38.0,1
2020-04-06,36.0,36.0,1
2020-04-07,31.0,31.0,1
2020-04-08,26.0,26.0,1
2020-04-09,30.0,30.0,1
2020-04-10,33.0,33.0,1
2020-04-11,59.0,59.0,1
2020-04-12,59.0,59.0,1
2020-04-13,47.0,47.0,1
2020-04-14,47.0,47.0,1
2020-04-15,41.0,41.0,1
2020-04-16,63.0,63.0,1
2020-04-17,45.0,45.0,1
2020-04-18,49.0,49.0,1
2020-04-19,49.0,49.0,1
2020-04-20,27.0,27.0,1
2020-04-21,75.0,75.0,1
2020-04-22,70.0,70.0,1
2020-04-23,78.0,78.0,1
2020-04-24,45.0,45.0,1
2020-04-25,46.0,46.0,1
2020-04-26,54.0,54.0,1
2020-04-27,35.0,35.0,1
2020-04-28,35.0,35.0,1
2020-04-29,38.0,38.0,1
2020-04-30,45.0,45.0,1
2020-05-01,36.0,36.0,1
2020-05-02,33.0,33.0,1
2020-05-03,44.0,44.0,1
2020-05-04,34.0,34.0,1
2020-05-05,33.0,33.0,1
2020-05-06,42.0,42.0,1
2020-05-07,35.0,35.0,1
2020-05-08,30.0,30.0,1
2020-05-09,45.0,45.0,1
2020-05-10,44.0,44.0,1
2020-05-11,66.0,66.0,1
2020-05-12,44.0,44.0,1
2020-05-13,55.0,55.0,1
2020-05-14,35.0,35.0,1
2020-05-15,39.0,39.0,1
2020-05-16,30.0,30.0,1
2020-05-17,70.0,70.0,1
2020-05-18,63.0,63.0,1
2020-05-19,41.0,41.0,1
2020-05-20,30.0,30.0,1
2020-05-21,30.0,30.0,1
2020-05-22,47.0,47.0,1
2020-05-23,34.0,34.0,1
2020-05-24,44.0,44.0,1
2020-05-25,36.0,36.0,1
2020-05-26,30.0,30.0,1
2020-05-27,23.0,23.0,1
2020-05-28,24.0,24.0,1
2020-05-29,29.0,29.0,1
2020-05-30,39.0,39.0,1
2020-05-31,34.0,34.0,1
2020-06-01,34.0,34.0,1
2020-06-02,28.0,28.0,1
2020-06-03,32.0,32.0,1
2020-06-04,33.0,33.0,1
2020-06-05,27.0,27.0,1
2020-06-06,44.0,44.0,1
2020-06-07,36.0,36.0,1
2020-06-08,36.0,36.0,1
2020-06-09,25.0,25.0,1
2020-06-10,33.0,33.0,1
2020-06-11,31.0,31.0,1
2020-06-12,24.0,24.0,1
2020-06-13,39.0,39.0,1
2020-06-14,37.0,37.0,1
2020-06-15,38.0,38.0,1
2020-06-16,43.0,43.0,1
2020-06-17,30.0,30.0,1
2020-06-18,36.0,36.0,1
2020-06-19,30.0,30.0,1
2020-06-20,32.0,32.0,1
2020-06-21,35.0,35.0,1
2020-06-22,31.0,31.0,1
2020-06-23,35.0,35.0,1
2020-06-24,46.0,46.0,1
2020-06-25,26.0,26.0,1
2020-06-26,26.0,26.0,1
2020-06-27,29.0,29.0,1
2020-06-28,45.0,45.0,1
2020-06-29,45.0,45.0,1
2020-06-30,32.0,32.0,1
2020-07-01,43.0,43.0,1
2020-07-02,32.0,32.0,1
2020-07-03,45.0,45.0,1
2020-07-04,26.0,26.0,1
2020-07-05,47.0,47.0,1
2020-07-06,36.0,36.0,1
2020-07-07,39.0,39.0,1
2020-07-08,32.0,32.0,1
2020-07-09,40.0,40.0,1
2020-07-10,38.0,38.0,1
2020-07-11,29.0,29.0,1
2020-07-12,44.0,44.0,1
2020-07-13,41.0,41.0,1
2020-07-14,42.0,42.0,1
2020-07-15,63.0,63.0,1
2020-07-16,73.0,73.0,1
2020-07-17,38.0,38.0,1
2020-07-18,36.0,36.0,1
2020-07-19,27.0,27.0,1
2020-07-20,100.0,100.0,1
2020-07-21,54.0,54.0,1
2020-07-22,27.0,27.0,1
2020-07-23,28.0,28.0,1
2020-07-24,37.0,37.0,1
2020-07-25,33.0,33.0,1
2020-07-26,30.0,30.0,1
2020-07-27,39.0,39.0,1
2020-07-28,34.0,34.0,1
2020-07-29,41.0,41.0,1
2020-07-30,31.0,31.0,1
2020-07-31,40.0,40.0,1
2020-08-01,39.0,39.0,1
2020-08-02,53.0,53.0,1
2020-08-03,46.0,46.0,1
2020-08-04,34.0,34.0,1
2020-08-05,41.0,41.0,1
2020-08-06,39.0,39.0,1
2020-08-07,36.0,36.0,1
2020-08-08,44.0,44.0,1
2020-08-09,41.0,41.0,1
2020-08-10,52.0,52.0,1
2020-08-11,73.0,73.0,1
2020-08-12,47.0,47.0,1
2020-08-13,43.0,43.0,1
2020-08-14,36.0,36.0,1
2020-08-15,46.0,46.0,1
2020-08-16,34.0,34.0,1
2020-08-17,76.0,76.0,1
2020-08-18,58.0,58.0,1
2020-08-19,42.0,42.0,1
2020-08-20,37.0,37.0,1
2020-08-21,36.0,36.0,1
2020-08-22,41.0,41.0,1
2020-08-23,37.0,37.0,1
2020-08-24,38.0,38.0,1
2020-08-25,30.0,30.0,1
2020-08-26,27.0,27.0,1
2020-08-27,31.0,31.0,1
2020-08-28,41.0,41.0,1
2020-08-29,27.0,27.0,1
2020-08-30,29.0,29.0,1
2020-08-31,41.0,41.0,1
2020-09-01,38.0,38.0,1
2020-09-02,46.0,46.0,1
2020-09-03,40.0,40.0,1
2020-09-04,39.0,39.0,1
2020-09-05,37.0,37.0,1
2020-09-06,33.0,33.0,1
2020-09-07,39.0,39.0,1
2020-09-08,50.0,50.0,1
2020-09-09,52.0,52.0,1
2020-09-10,42.0,42.0,1
2020-09-11,48.0,48.0,1
2020-09-12,40.0,40.0,1
2020-09-13,41.0,41.0,1
2020-09-14,40.0,40.0,1
2020-09-15,38.0,38.0,1
2020-09-16,57.0,57.0,1
2020-09-17,36.0,36.0,1
2020-09-18,53.0,53.0,1
2020-09-19,47.0,47.0,1
2020-09-20,43.0,43.0,1
2020-09-21,41.0,41.0,1
2020-09-22,54.0,54.0,1
2020-09-23,45.0,45.0,1
2020-09-24,39.0,39.0,1
2020-09-25,47.0,47.0,1
2020-09-26,35.0,35.0,1
2020-09-27,45.0,45.0,1
2020-09-28,43.0,43.0,1
2020-09-29,36.0,36.0,1
2020-09-30,42.0,42.0,1
2020-10-01,44.0,44.0,1
2020-10-02,46.0,46.0,1
2020-10-03,50.0,50.0,1
2020-10-04,40.0,40.0,1
2020-10-05,48.0,48.0,1
2020-10-06,46.0,46.0,1
2020-10-07,45.0,45.0,1
2020-10-08,74.0,74.0,1
2020-10-09,47.0,47.0,1
2020-10-10,42.0,42.0,1
2020-10-11,64.0,64.0,1
2020-10-12,50.0,50.0,1
2020-10-13,52.0,52.0,1
2020-10-14,57.0,57.0,1
2020-10-15,46.0,46.0,1
2020-10-16,52.0,52.0,1
2020-10-17,54.0,54.0,1
2020-10-18,86.0,86.0,1
