date,/m/0hn9s_0,/m/0hn9s,batch_id
2020-02-01,36.0,36.0,1
2020-02-02,44.0,44.0,1
2020-02-03,14.0,14.0,1
2020-02-04,20.0,20.0,1
2020-02-05,31.0,31.0,1
2020-02-06,5.0,5.0,1
2020-02-07,16.0,16.0,1
2020-02-08,12.0,12.0,1
2020-02-09,22.0,22.0,1
2020-02-10,19.0,19.0,1
2020-02-11,5.0,5.0,1
2020-02-12,15.0,15.0,1
2020-02-13,15.0,15.0,1
2020-02-14,32.0,32.0,1
2020-02-15,12.0,12.0,1
2020-02-16,11.0,11.0,1
2020-02-17,10.0,10.0,1
2020-02-18,5.0,5.0,1
2020-02-19,10.0,10.0,1
2020-02-20,0.0,0.0,1
2020-02-21,5.0,5.0,1
2020-02-22,6.0,6.0,1
2020-02-23,5.0,5.0,1
2020-02-24,29.0,29.0,1
2020-02-25,39.0,39.0,1
2020-02-26,44.0,44.0,1
2020-02-27,40.0,40.0,1
2020-02-28,10.0,10.0,1
2020-02-29,28.0,28.0,1
2020-03-01,21.0,21.0,1
2020-03-02,39.0,39.0,1
2020-03-03,28.0,28.0,1
2020-03-04,15.0,15.0,1
2020-03-05,25.0,25.0,1
2020-03-06,10.0,10.0,1
2020-03-07,16.0,16.0,1
2020-03-08,0.0,0.0,1
2020-03-09,9.0,9.0,1
2020-03-10,46.0,46.0,1
2020-03-11,50.0,50.0,1
2020-03-12,45.0,45.0,1
2020-03-13,100.0,100.0,1
2020-03-14,59.0,59.0,1
2020-03-15,90.0,90.0,1
2020-03-16,70.0,70.0,1
2020-03-17,28.0,28.0,1
2020-03-18,58.0,58.0,1
2020-03-19,34.0,34.0,1
2020-03-20,74.0,74.0,1
2020-03-21,34.0,34.0,1
2020-03-22,44.0,44.0,1
2020-03-23,58.0,58.0,1
2020-03-24,59.0,59.0,1
2020-03-25,14.0,14.0,1
2020-03-26,32.0,32.0,1
2020-03-27,36.0,36.0,1
2020-03-28,77.0,77.0,1
2020-03-29,10.0,10.0,1
2020-03-30,35.0,35.0,1
2020-03-31,4.0,4.0,1
2020-04-01,18.0,18.0,1
2020-04-02,18.0,18.0,1
2020-04-03,23.0,23.0,1
2020-04-04,22.0,22.0,1
2020-04-05,27.0,27.0,1
2020-04-06,22.0,22.0,1
2020-04-07,23.0,23.0,1
2020-04-08,14.0,14.0,1
2020-04-09,5.0,5.0,1
2020-04-10,22.0,22.0,1
2020-04-11,12.0,12.0,1
2020-04-12,29.0,29.0,1
2020-04-13,14.0,14.0,1
2020-04-14,8.0,8.0,1
2020-04-15,18.0,18.0,1
2020-04-16,5.0,5.0,1
2020-04-17,15.0,15.0,1
2020-04-18,0.0,0.0,1
2020-04-19,25.0,25.0,1
2020-04-20,9.0,9.0,1
2020-04-21,9.0,9.0,1
2020-04-22,14.0,14.0,1
2020-04-23,14.0,14.0,1
2020-04-24,10.0,10.0,1
2020-04-25,11.0,11.0,1
2020-04-26,11.0,11.0,1
2020-04-27,27.0,27.0,1
2020-04-28,23.0,23.0,1
2020-04-29,13.0,13.0,1
2020-04-30,23.0,23.0,1
2020-05-01,11.0,11.0,1
2020-05-02,16.0,16.0,1
2020-05-03,15.0,15.0,1
2020-05-04,4.0,4.0,1
2020-05-05,0.0,0.0,1
2020-05-06,9.0,9.0,1
2020-05-07,5.0,5.0,1
2020-05-08,6.0,6.0,1
2020-05-09,0.0,0.0,1
2020-05-10,10.0,10.0,1
2020-05-11,8.0,8.0,1
2020-05-12,9.0,9.0,1
2020-05-13,9.0,9.0,1
2020-05-14,0.0,0.0,1
2020-05-15,14.0,14.0,1
2020-05-16,0.0,0.0,1
2020-05-17,0.0,0.0,1
2020-05-18,10.0,10.0,1
2020-05-19,10.0,10.0,1
2020-05-20,9.0,9.0,1
2020-05-21,10.0,10.0,1
2020-05-22,20.0,20.0,1
2020-05-23,5.0,5.0,1
2020-05-24,0.0,0.0,1
2020-05-25,4.0,4.0,1
2020-05-26,13.0,13.0,1
2020-05-27,5.0,5.0,1
2020-05-28,14.0,14.0,1
2020-05-29,5.0,5.0,1
2020-05-30,0.0,0.0,1
2020-05-31,0.0,0.0,1
2020-06-01,9.0,9.0,1
2020-06-02,5.0,5.0,1
2020-06-03,0.0,0.0,1
2020-06-04,4.0,4.0,1
2020-06-05,4.0,4.0,1
2020-06-06,6.0,6.0,1
2020-06-07,5.0,5.0,1
2020-06-08,4.0,4.0,1
2020-06-09,0.0,0.0,1
2020-06-10,0.0,0.0,1
2020-06-11,5.0,5.0,1
2020-06-12,5.0,5.0,1
2020-06-13,0.0,0.0,1
2020-06-14,10.0,10.0,1
2020-06-15,0.0,0.0,1
2020-06-16,0.0,0.0,1
2020-06-17,5.0,5.0,1
2020-06-18,4.0,4.0,1
2020-06-19,5.0,5.0,1
2020-06-20,0.0,0.0,1
2020-06-21,5.0,5.0,1
2020-06-22,0.0,0.0,1
2020-06-23,0.0,0.0,1
2020-06-24,19.0,19.0,1
2020-06-25,5.0,5.0,1
2020-06-26,0.0,0.0,1
2020-06-27,0.0,0.0,1
2020-06-28,6.0,6.0,1
2020-06-29,9.0,9.0,1
2020-06-30,0.0,0.0,1
2020-07-01,0.0,0.0,1
2020-07-02,5.0,5.0,1
2020-07-03,5.0,5.0,1
2020-07-04,0.0,0.0,1
2020-07-05,13.0,13.0,1
2020-07-06,11.0,11.0,1
2020-07-07,15.0,15.0,1
2020-07-08,0.0,0.0,1
2020-07-09,0.0,0.0,1
2020-07-10,11.0,11.0,1
2020-07-11,0.0,0.0,1
2020-07-12,0.0,0.0,1
2020-07-13,5.0,5.0,1
2020-07-14,5.0,5.0,1
2020-07-15,0.0,0.0,1
2020-07-16,5.0,5.0,1
2020-07-17,5.0,5.0,1
2020-07-18,0.0,0.0,1
2020-07-19,12.0,12.0,1
2020-07-20,0.0,0.0,1
2020-07-21,0.0,0.0,1
2020-07-22,0.0,0.0,1
2020-07-23,0.0,0.0,1
2020-07-24,0.0,0.0,1
2020-07-25,7.0,7.0,1
2020-07-26,6.0,6.0,1
2020-07-27,0.0,0.0,1
2020-07-28,0.0,0.0,1
2020-07-29,11.0,11.0,1
2020-07-30,11.0,11.0,1
2020-07-31,12.0,12.0,1
2020-08-01,7.0,7.0,1
2020-08-02,0.0,0.0,1
2020-08-03,5.0,5.0,1
2020-08-04,5.0,5.0,1
2020-08-05,11.0,11.0,1
