date,/g/1yxkhgd6l
2020-02-01,15
2020-02-02,36
2020-02-03,19
2020-02-04,22
2020-02-05,15
2020-02-06,34
2020-02-07,24
2020-02-08,24
2020-02-09,7
2020-02-10,21
2020-02-11,29
2020-02-12,22
2020-02-13,34
2020-02-14,34
2020-02-15,36
2020-02-16,22
2020-02-17,18
2020-02-18,18
2020-02-19,25
2020-02-20,15
2020-02-21,15
2020-02-22,24
2020-02-23,33
2020-02-24,18
2020-02-25,28
2020-02-26,40
2020-02-27,34
2020-02-28,33
2020-02-29,30
2020-03-01,22
2020-03-02,41
2020-03-03,14
2020-03-04,18
2020-03-05,29
2020-03-06,18
2020-03-07,43
2020-03-08,32
2020-03-09,24
2020-03-10,24
2020-03-11,31
2020-03-12,20
2020-03-13,22
2020-03-14,33
2020-03-15,22
2020-03-16,23
2020-03-17,20
2020-03-18,34
2020-03-19,40
2020-03-20,31
2020-03-21,53
2020-03-22,36
2020-03-23,33
2020-03-24,26
2020-03-25,40
2020-03-26,38
2020-03-27,39
2020-03-28,100
2020-03-29,56
2020-03-30,36
2020-03-31,42
2020-04-01,31
2020-04-02,36
2020-04-03,33
2020-04-04,54
2020-04-05,64
2020-04-06,44
2020-04-07,50
2020-04-08,43
2020-04-09,56
2020-04-10,60
2020-04-11,61
2020-04-12,57
2020-04-13,56
2020-04-14,55
2020-04-15,47
2020-04-16,52
2020-04-17,52
2020-04-18,96
2020-04-19,65
2020-04-20,64
2020-04-21,73
2020-04-22,42
2020-04-23,50
2020-04-24,63
2020-04-25,31
2020-04-26,29
2020-04-27,25
2020-04-28,47
2020-04-29,59
2020-04-30,34
2020-05-01,43
2020-05-02,50
2020-05-03,37
2020-05-04,23
2020-05-05,60
2020-05-06,53
2020-05-07,36
2020-05-08,46
2020-05-09,82
2020-05-10,59
2020-05-11,38
2020-05-12,43
2020-05-13,40
2020-05-14,22
2020-05-15,19
2020-05-16,46
2020-05-17,56
2020-05-18,35
2020-05-19,25
2020-05-20,46
2020-05-21,47
2020-05-22,37
2020-05-23,46
2020-05-24,39
2020-05-25,21
2020-05-26,42
2020-05-27,41
2020-05-28,41
2020-05-29,23
2020-05-30,36
2020-05-31,70
2020-06-01,61
2020-06-02,39
2020-06-03,31
2020-06-04,21
2020-06-05,41
2020-06-06,70
2020-06-07,52
2020-06-08,19
2020-06-09,30
2020-06-10,27
2020-06-11,28
2020-06-12,25
2020-06-13,43
2020-06-14,21
2020-06-15,30
2020-06-16,26
2020-06-17,26
2020-06-18,34
2020-06-19,36
2020-06-20,53
2020-06-21,32
2020-06-22,31
2020-06-23,17
2020-06-24,41
2020-06-25,31
2020-06-26,27
2020-06-27,40
2020-06-28,43
2020-06-29,25
2020-06-30,22
2020-07-01,22
2020-07-02,13
2020-07-03,44
2020-07-04,33
2020-07-05,35
2020-07-06,19
2020-07-07,20
2020-07-08,23
2020-07-09,17
2020-07-10,25
2020-07-11,21
2020-07-12,16
2020-07-13,21
2020-07-14,17
2020-07-15,24
2020-07-16,50
2020-07-17,18
2020-07-18,35
2020-07-19,25
2020-07-20,25
2020-07-21,24
2020-07-22,25
2020-07-23,26
2020-07-24,36
2020-07-25,59
2020-07-26,23
2020-07-27,23
2020-07-28,38
2020-07-29,36
2020-07-30,26
2020-07-31,15
2020-08-01,26
2020-08-02,25
2020-08-03,32
2020-08-04,34
2020-08-05,45
2020-08-06,42
2020-08-07,39
2020-08-08,22
2020-08-09,29
2020-08-10,26
2020-08-11,13
2020-08-12,25
2020-08-13,20
2020-08-14,50
2020-08-15,48
2020-08-16,31
2020-08-17,16
2020-08-18,19
2020-08-19,45
2020-08-20,27
2020-08-21,23
2020-08-22,37
2020-08-23,30
2020-08-24,6
2020-08-25,29
2020-08-26,20
2020-08-27,34
2020-08-28,47
2020-08-29,33
2020-08-30,38
2020-08-31,16
2020-09-01,7
2020-09-02,17
2020-09-03,14
2020-09-04,14
2020-09-05,18
2020-09-06,26
2020-09-07,27
2020-09-08,13
2020-09-09,13
2020-09-10,14
2020-09-11,26
2020-09-12,31
2020-09-13,30
2020-09-14,17
2020-09-15,17
2020-09-16,14
2020-09-17,28
2020-09-18,21
2020-09-19,30
2020-09-20,25
2020-09-21,10
2020-09-22,20
2020-09-23,13
2020-09-24,17
2020-09-25,18
2020-09-26,29
2020-09-27,25
2020-09-28,16
