date,/m/07mf1_0,/m/07mf1,batch_id
2021-02-01,15.0,15.0,1
2021-02-02,46.0,46.0,1
2021-02-03,30.0,30.0,1
2021-02-04,48.0,48.0,1
2021-02-05,79.0,79.0,1
2021-02-06,100.0,100.0,1
2021-02-07,50.0,50.0,1
2021-02-08,76.0,76.0,1
2021-02-09,78.0,78.0,1
2021-02-10,61.0,61.0,1
2021-02-11,31.0,31.0,1
2021-02-12,48.0,48.0,1
2021-02-13,18.0,18.0,1
2021-02-14,18.0,18.0,1
2021-02-15,30.0,30.0,1
2021-02-16,32.0,32.0,1
2021-02-17,32.0,32.0,1
2021-02-18,16.0,16.0,1
2021-02-19,50.0,50.0,1
2021-02-20,38.0,38.0,1
2021-02-21,0.0,0.0,1
2021-02-22,44.0,44.0,1
2021-02-23,32.0,32.0,1
2021-02-24,32.0,32.0,1
2021-02-25,32.0,32.0,1
2021-02-26,32.0,32.0,1
2021-02-27,54.0,54.0,1
2021-02-28,52.0,52.0,1
2021-03-01,16.0,16.0,1
2021-03-02,48.0,48.0,1
2021-03-03,32.0,32.0,1
2021-03-04,46.0,46.0,1
2021-03-05,0.0,0.0,1
2021-03-06,36.0,36.0,1
2021-03-07,17.0,17.0,1
2021-03-08,0.0,0.0,1
2021-03-09,31.0,31.0,1
2021-03-10,31.0,31.0,1
2021-03-11,47.0,47.0,1
2021-03-12,96.0,96.0,1
2021-03-13,50.0,50.0,1
2021-03-14,0.0,0.0,1
2021-03-15,24.0,24.0,1
2021-03-16,13.0,13.0,1
2021-03-17,77.0,77.0,1
2021-03-18,31.0,31.0,1
2021-03-19,49.0,49.0,1
2021-03-20,73.0,73.0,1
2021-03-21,68.0,68.0,1
2021-03-22,0.0,0.0,1
2021-03-23,31.0,31.0,1
2021-03-24,16.0,16.0,1
2021-03-25,48.0,48.0,1
2021-03-26,16.0,16.0,1
2021-03-27,17.0,17.0,1
2021-03-28,18.0,18.0,1
2021-03-29,49.0,49.0,1
2021-03-30,17.0,17.0,1
2021-03-31,35.0,35.0,1
2021-04-01,17.0,17.0,1
2021-04-02,67.0,67.0,1
2021-04-03,36.0,36.0,1
2021-04-04,18.0,18.0,1
2021-04-05,65.0,65.0,1
2021-04-06,0.0,0.0,1
2021-04-07,46.0,46.0,1
2021-04-08,48.0,48.0,1
2021-04-09,81.0,81.0,1
2021-04-10,64.0,64.0,1
2021-04-11,50.0,50.0,1
2021-04-12,45.0,45.0,1
2021-04-13,64.0,64.0,1
2021-04-14,47.0,47.0,1
2021-04-15,16.0,16.0,1
2021-04-16,17.0,17.0,1
2021-04-17,36.0,36.0,1
2021-04-18,36.0,36.0,1
2021-04-19,61.0,61.0,1
2021-04-20,32.0,32.0,1
2021-04-21,32.0,32.0,1
2021-04-22,16.0,16.0,1
2021-04-23,34.0,34.0,1
2021-04-24,19.0,19.0,1
2021-04-25,72.0,72.0,1
2021-04-26,31.0,31.0,1
2021-04-27,32.0,32.0,1
2021-04-28,48.0,48.0,1
2021-04-29,15.0,15.0,1
2021-04-30,31.0,31.0,1
2021-05-01,69.0,69.0,1
2021-05-02,69.0,69.0,1
2021-05-03,15.0,15.0,1
2021-05-04,44.0,44.0,1
2021-05-05,15.0,15.0,1
2021-05-06,0.0,0.0,1
2021-05-07,48.0,48.0,1
2021-05-08,35.0,35.0,1
2021-05-09,75.0,75.0,1
2021-05-10,46.0,46.0,1
2021-05-11,45.0,45.0,1
2021-05-12,16.0,16.0,1
2021-05-13,0.0,0.0,1
2021-05-14,34.0,34.0,1
