date,/m/017vvr_0,/m/017vvr,batch_id
2021-02-01,12.0,12.0,1
2021-02-02,25.0,25.0,1
2021-02-03,25.0,25.0,1
2021-02-04,0.0,0.0,1
2021-02-05,38.0,38.0,1
2021-02-06,54.0,54.0,1
2021-02-07,14.0,14.0,1
2021-02-08,12.0,12.0,1
2021-02-09,13.0,13.0,1
2021-02-10,25.0,25.0,1
2021-02-11,51.0,51.0,1
2021-02-12,13.0,13.0,1
2021-02-13,43.0,43.0,1
2021-02-14,14.0,14.0,1
2021-02-15,37.0,37.0,1
2021-02-16,52.0,52.0,1
2021-02-17,38.0,38.0,1
2021-02-18,51.0,51.0,1
2021-02-19,81.0,81.0,1
2021-02-20,31.0,31.0,1
2021-02-21,62.0,62.0,1
2021-02-22,0.0,0.0,1
2021-02-23,39.0,39.0,1
2021-02-24,13.0,13.0,1
2021-02-25,26.0,26.0,1
2021-02-26,0.0,0.0,1
2021-02-27,15.0,15.0,1
2021-02-28,28.0,28.0,1
2021-03-01,25.0,25.0,1
2021-03-02,65.0,65.0,1
2021-03-03,13.0,13.0,1
2021-03-04,49.0,49.0,1
2021-03-05,27.0,27.0,1
2021-03-06,29.0,29.0,1
2021-03-07,42.0,42.0,1
2021-03-08,51.0,51.0,1
2021-03-09,37.0,37.0,1
2021-03-10,25.0,25.0,1
2021-03-11,0.0,0.0,1
2021-03-12,13.0,13.0,1
2021-03-13,41.0,41.0,1
2021-03-14,13.0,13.0,1
2021-03-15,30.0,30.0,1
2021-03-16,33.0,33.0,1
2021-03-17,0.0,0.0,1
2021-03-18,89.0,89.0,1
2021-03-19,53.0,53.0,1
2021-03-20,0.0,0.0,1
2021-03-21,55.0,55.0,1
2021-03-22,13.0,13.0,1
2021-03-23,0.0,0.0,1
2021-03-24,50.0,50.0,1
2021-03-25,26.0,26.0,1
2021-03-26,53.0,53.0,1
2021-03-27,0.0,0.0,1
2021-03-28,30.0,30.0,1
2021-03-29,66.0,66.0,1
2021-03-30,82.0,82.0,1
2021-03-31,14.0,14.0,1
2021-04-01,81.0,81.0,1
2021-04-02,55.0,55.0,1
2021-04-03,29.0,29.0,1
2021-04-04,15.0,15.0,1
2021-04-05,39.0,39.0,1
2021-04-06,12.0,12.0,1
2021-04-07,75.0,75.0,1
2021-04-08,64.0,64.0,1
2021-04-09,53.0,53.0,1
2021-04-10,39.0,39.0,1
2021-04-11,27.0,27.0,1
2021-04-12,37.0,37.0,1
2021-04-13,65.0,65.0,1
2021-04-14,51.0,51.0,1
2021-04-15,26.0,26.0,1
2021-04-16,68.0,68.0,1
2021-04-17,15.0,15.0,1
2021-04-18,15.0,15.0,1
2021-04-19,0.0,0.0,1
2021-04-20,64.0,64.0,1
2021-04-21,65.0,65.0,1
2021-04-22,26.0,26.0,1
2021-04-23,27.0,27.0,1
2021-04-24,76.0,76.0,1
2021-04-25,58.0,58.0,1
2021-04-26,51.0,51.0,1
2021-04-27,92.0,92.0,1
2021-04-28,39.0,39.0,1
2021-04-29,37.0,37.0,1
2021-04-30,38.0,38.0,1
2021-05-01,0.0,0.0,1
2021-05-02,28.0,28.0,1
2021-05-03,37.0,37.0,1
2021-05-04,59.0,59.0,1
2021-05-05,36.0,36.0,1
2021-05-06,38.0,38.0,1
2021-05-07,78.0,78.0,1
2021-05-08,28.0,28.0,1
2021-05-09,15.0,15.0,1
2021-05-10,100.0,100.0,1
2021-05-11,73.0,73.0,1
2021-05-12,38.0,38.0,1
2021-05-13,80.0,80.0,1
2021-05-14,41.0,41.0,1
