date,/m/07zl554_0,/m/07zl554,batch_id
2021-02-01,55.0,55.0,1
2021-02-02,44.0,44.0,1
2021-02-03,11.0,11.0,1
2021-02-04,34.0,34.0,1
2021-02-05,23.0,23.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,66.0,66.0,1
2021-02-09,33.0,33.0,1
2021-02-10,66.0,66.0,1
2021-02-11,23.0,23.0,1
2021-02-12,11.0,11.0,1
2021-02-13,0.0,0.0,1
2021-02-14,13.0,13.0,1
2021-02-15,22.0,22.0,1
2021-02-16,46.0,46.0,1
2021-02-17,45.0,45.0,1
2021-02-18,23.0,23.0,1
2021-02-19,84.0,84.0,1
2021-02-20,27.0,27.0,1
2021-02-21,14.0,14.0,1
2021-02-22,21.0,21.0,1
2021-02-23,58.0,58.0,1
2021-02-24,58.0,58.0,1
2021-02-25,12.0,12.0,1
2021-02-26,46.0,46.0,1
2021-02-27,39.0,39.0,1
2021-02-28,12.0,12.0,1
2021-03-01,56.0,56.0,1
2021-03-02,92.0,92.0,1
2021-03-03,35.0,35.0,1
2021-03-04,66.0,66.0,1
2021-03-05,47.0,47.0,1
2021-03-06,26.0,26.0,1
2021-03-07,37.0,37.0,1
2021-03-08,11.0,11.0,1
2021-03-09,66.0,66.0,1
2021-03-10,67.0,67.0,1
2021-03-11,45.0,45.0,1
2021-03-12,81.0,81.0,1
2021-03-13,12.0,12.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,39.0,39.0,1
2021-03-17,100.0,100.0,1
2021-03-18,79.0,79.0,1
2021-03-19,94.0,94.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,45.0,45.0,1
2021-03-23,45.0,45.0,1
2021-03-24,56.0,56.0,1
2021-03-25,23.0,23.0,1
2021-03-26,35.0,35.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,47.0,47.0,1
2021-03-30,49.0,49.0,1
2021-03-31,25.0,25.0,1
2021-04-01,36.0,36.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,13.0,13.0,1
2021-04-05,47.0,47.0,1
2021-04-06,32.0,32.0,1
2021-04-07,22.0,22.0,1
2021-04-08,23.0,23.0,1
2021-04-09,35.0,35.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,43.0,43.0,1
2021-04-13,35.0,35.0,1
2021-04-14,45.0,45.0,1
2021-04-15,57.0,57.0,1
2021-04-16,24.0,24.0,1
2021-04-17,0.0,0.0,1
2021-04-18,26.0,26.0,1
2021-04-19,33.0,33.0,1
2021-04-20,45.0,45.0,1
2021-04-21,11.0,11.0,1
2021-04-22,23.0,23.0,1
2021-04-23,12.0,12.0,1
2021-04-24,13.0,13.0,1
2021-04-25,0.0,0.0,1
2021-04-26,56.0,56.0,1
2021-04-27,12.0,12.0,1
2021-04-28,11.0,11.0,1
2021-04-29,33.0,33.0,1
2021-04-30,11.0,11.0,1
2021-05-01,12.0,12.0,1
2021-05-02,0.0,0.0,1
2021-05-03,11.0,11.0,1
2021-05-04,52.0,52.0,1
2021-05-05,32.0,32.0,1
2021-05-06,44.0,44.0,1
2021-05-07,23.0,23.0,1
2021-05-08,25.0,25.0,1
2021-05-09,27.0,27.0,1
2021-05-10,11.0,11.0,1
2021-05-11,76.0,76.0,1
2021-05-12,56.0,56.0,1
2021-05-13,36.0,36.0,1
2021-05-14,48.0,48.0,1
