date,/g/11fr15t15h_0,/g/11fr15t15h,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,0.0,0.0,1
2021-02-04,28.0,28.0,1
2021-02-05,0.0,0.0,1
2021-02-06,30.0,30.0,1
2021-02-07,30.0,30.0,1
2021-02-08,0.0,0.0,1
2021-02-09,28.0,28.0,1
2021-02-10,27.0,27.0,1
2021-02-11,56.0,56.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,56.0,56.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,79.0,79.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,0.0,0.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,55.0,55.0,1
2021-03-02,29.0,29.0,1
2021-03-03,0.0,0.0,1
2021-03-04,0.0,0.0,1
2021-03-05,58.0,58.0,1
2021-03-06,0.0,0.0,1
2021-03-07,62.0,62.0,1
2021-03-08,0.0,0.0,1
2021-03-09,54.0,54.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,29.0,29.0,1
2021-03-15,0.0,0.0,1
2021-03-16,24.0,24.0,1
2021-03-17,28.0,28.0,1
2021-03-18,0.0,0.0,1
2021-03-19,0.0,0.0,1
2021-03-20,33.0,33.0,1
2021-03-21,30.0,30.0,1
2021-03-22,83.0,83.0,1
2021-03-23,28.0,28.0,1
2021-03-24,28.0,28.0,1
2021-03-25,28.0,28.0,1
2021-03-26,0.0,0.0,1
2021-03-27,31.0,31.0,1
2021-03-28,33.0,33.0,1
2021-03-29,58.0,58.0,1
2021-03-30,60.0,60.0,1
2021-03-31,0.0,0.0,1
2021-04-01,29.0,29.0,1
2021-04-02,30.0,30.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,29.0,29.0,1
2021-04-06,27.0,27.0,1
2021-04-07,27.0,27.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,60.0,60.0,1
2021-04-12,0.0,0.0,1
2021-04-13,29.0,29.0,1
2021-04-14,28.0,28.0,1
2021-04-15,0.0,0.0,1
2021-04-16,30.0,30.0,1
2021-04-17,32.0,32.0,1
2021-04-18,65.0,65.0,1
2021-04-19,0.0,0.0,1
2021-04-20,0.0,0.0,1
2021-04-21,28.0,28.0,1
2021-04-22,29.0,29.0,1
2021-04-23,30.0,30.0,1
2021-04-24,100.0,100.0,1
2021-04-25,32.0,32.0,1
2021-04-26,0.0,0.0,1
2021-04-27,29.0,29.0,1
2021-04-28,28.0,28.0,1
2021-04-29,27.0,27.0,1
2021-04-30,56.0,56.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,27.0,27.0,1
2021-05-04,52.0,52.0,1
2021-05-05,0.0,0.0,1
2021-05-06,27.0,27.0,1
2021-05-07,28.0,28.0,1
2021-05-08,0.0,0.0,1
2021-05-09,66.0,66.0,1
2021-05-10,27.0,27.0,1
2021-05-11,0.0,0.0,1
2021-05-12,56.0,56.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
