date,/m/011b4v39
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,40
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,39
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,40
2020-03-14,0
2020-03-15,40
2020-03-16,0
2020-03-17,0
2020-03-18,37
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,39
2020-03-23,32
2020-03-24,35
2020-03-25,0
2020-03-26,0
2020-03-27,43
2020-03-28,38
2020-03-29,0
2020-03-30,32
2020-03-31,32
2020-04-01,0
2020-04-02,0
2020-04-03,33
2020-04-04,58
2020-04-05,41
2020-04-06,67
2020-04-07,34
2020-04-08,54
2020-04-09,35
2020-04-10,36
2020-04-11,66
2020-04-12,39
2020-04-13,34
2020-04-14,66
2020-04-15,0
2020-04-16,71
2020-04-17,35
2020-04-18,35
2020-04-19,0
2020-04-20,65
2020-04-21,33
2020-04-22,52
2020-04-23,68
2020-04-24,45
2020-04-25,38
2020-04-26,60
2020-04-27,0
2020-04-28,31
2020-04-29,33
2020-04-30,0
2020-05-01,66
2020-05-02,34
2020-05-03,0
2020-05-04,31
2020-05-05,46
2020-05-06,33
2020-05-07,0
2020-05-08,0
2020-05-09,77
2020-05-10,36
2020-05-11,31
2020-05-12,33
2020-05-13,67
2020-05-14,33
2020-05-15,0
2020-05-16,0
2020-05-17,41
2020-05-18,0
2020-05-19,0
2020-05-20,59
2020-05-21,39
2020-05-22,34
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,34
2020-05-28,34
2020-05-29,36
2020-05-30,59
2020-05-31,100
