date,/m/0v5r_0,/m/0v5r,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,14.0,14.0,1
2021-02-03,0.0,0.0,1
2021-02-04,15.0,15.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,14.0,14.0,1
2021-02-09,0.0,0.0,1
2021-02-10,28.0,28.0,1
2021-02-11,0.0,0.0,1
2021-02-12,15.0,15.0,1
2021-02-13,0.0,0.0,1
2021-02-14,16.0,16.0,1
2021-02-15,14.0,14.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,29.0,29.0,1
2021-02-19,30.0,30.0,1
2021-02-20,17.0,17.0,1
2021-02-21,0.0,0.0,1
2021-02-22,13.0,13.0,1
2021-02-23,29.0,29.0,1
2021-02-24,15.0,15.0,1
2021-02-25,29.0,29.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,16.0,16.0,1
2021-03-01,0.0,0.0,1
2021-03-02,15.0,15.0,1
2021-03-03,0.0,0.0,1
2021-03-04,14.0,14.0,1
2021-03-05,0.0,0.0,1
2021-03-06,16.0,16.0,1
2021-03-07,0.0,0.0,1
2021-03-08,28.0,28.0,1
2021-03-09,70.0,70.0,1
2021-03-10,28.0,28.0,1
2021-03-11,14.0,14.0,1
2021-03-12,44.0,44.0,1
2021-03-13,15.0,15.0,1
2021-03-14,0.0,0.0,1
2021-03-15,33.0,33.0,1
2021-03-16,12.0,12.0,1
2021-03-17,14.0,14.0,1
2021-03-18,14.0,14.0,1
2021-03-19,90.0,90.0,1
2021-03-20,100.0,100.0,1
2021-03-21,31.0,31.0,1
2021-03-22,57.0,57.0,1
2021-03-23,28.0,28.0,1
2021-03-24,0.0,0.0,1
2021-03-25,15.0,15.0,1
2021-03-26,45.0,45.0,1
2021-03-27,16.0,16.0,1
2021-03-28,34.0,34.0,1
2021-03-29,74.0,74.0,1
2021-03-30,46.0,46.0,1
2021-03-31,16.0,16.0,1
2021-04-01,15.0,15.0,1
2021-04-02,31.0,31.0,1
2021-04-03,0.0,0.0,1
2021-04-04,34.0,34.0,1
2021-04-05,0.0,0.0,1
2021-04-06,68.0,68.0,1
2021-04-07,14.0,14.0,1
2021-04-08,43.0,43.0,1
2021-04-09,0.0,0.0,1
2021-04-10,15.0,15.0,1
2021-04-11,15.0,15.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,29.0,29.0,1
2021-04-15,15.0,15.0,1
2021-04-16,45.0,45.0,1
2021-04-17,0.0,0.0,1
2021-04-18,17.0,17.0,1
2021-04-19,42.0,42.0,1
2021-04-20,43.0,43.0,1
2021-04-21,44.0,44.0,1
2021-04-22,44.0,44.0,1
2021-04-23,15.0,15.0,1
2021-04-24,51.0,51.0,1
2021-04-25,49.0,49.0,1
2021-04-26,43.0,43.0,1
2021-04-27,59.0,59.0,1
2021-04-28,29.0,29.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,16.0,16.0,1
2021-05-02,31.0,31.0,1
2021-05-03,0.0,0.0,1
2021-05-04,0.0,0.0,1
2021-05-05,54.0,54.0,1
2021-05-06,42.0,42.0,1
2021-05-07,44.0,44.0,1
2021-05-08,16.0,16.0,1
2021-05-09,17.0,17.0,1
2021-05-10,70.0,70.0,1
2021-05-11,27.0,27.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,77.0,77.0,1
