date,/m/03vvz
2020-02-01,47
2020-02-02,34
2020-02-03,0
2020-02-04,30
2020-02-05,0
2020-02-06,24
2020-02-07,33
2020-02-08,0
2020-02-09,21
2020-02-10,22
2020-02-11,22
2020-02-12,45
2020-02-13,23
2020-02-14,36
2020-02-15,25
2020-02-16,22
2020-02-17,22
2020-02-18,22
2020-02-19,23
2020-02-20,23
2020-02-21,24
2020-02-22,37
2020-02-23,47
2020-02-24,44
2020-02-25,22
2020-02-26,42
2020-02-27,42
2020-02-28,23
2020-02-29,24
2020-03-01,37
2020-03-02,78
2020-03-03,33
2020-03-04,44
2020-03-05,57
2020-03-06,38
2020-03-07,61
2020-03-08,45
2020-03-09,79
2020-03-10,57
2020-03-11,52
2020-03-12,73
2020-03-13,75
2020-03-14,54
2020-03-15,76
2020-03-16,94
2020-03-17,90
2020-03-18,42
2020-03-19,76
2020-03-20,85
2020-03-21,88
2020-03-22,60
2020-03-23,62
2020-03-24,100
2020-03-25,81
2020-03-26,47
2020-03-27,56
2020-03-28,65
2020-03-29,48
2020-03-30,62
2020-03-31,47
2020-04-01,51
2020-04-02,44
2020-04-03,32
2020-04-04,33
2020-04-05,59
2020-04-06,38
2020-04-07,27
2020-04-08,34
2020-04-09,41
2020-04-10,34
2020-04-11,38
2020-04-12,33
2020-04-13,39
2020-04-14,38
2020-04-15,33
2020-04-16,41
2020-04-17,41
2020-04-18,20
2020-04-19,54
2020-04-20,47
2020-04-21,39
2020-04-22,27
2020-04-23,20
2020-04-24,39
2020-04-25,65
2020-04-26,23
2020-04-27,0
2020-04-28,30
2020-04-29,46
2020-04-30,30
2020-05-01,57
2020-05-02,0
2020-05-03,41
2020-05-04,30
2020-05-05,35
2020-05-06,39
2020-05-07,20
2020-05-08,30
2020-05-09,22
2020-05-10,61
2020-05-11,36
2020-05-12,19
2020-05-13,38
2020-05-14,32
2020-05-15,51
2020-05-16,0
2020-05-17,46
2020-05-18,49
2020-05-19,30
2020-05-20,31
2020-05-21,45
2020-05-22,39
2020-05-23,34
2020-05-24,41
2020-05-25,28
2020-05-26,30
2020-05-27,39
2020-05-28,49
2020-05-29,34
2020-05-30,45
2020-05-31,34
